FA년도,구단명,선수명,포지션,투,타,인정년수,구분,FA등급,플레이년도,나이,게임수,타석수,타수,득점,안타,2루타,3루타,사구,홈런,타점,도루성공,도루실패,볼넷,삼진,병살타,희생플라이,평균대비수비득점기여,수비_포지션 RAA,전체수비 RAA,공격WAR,수비WAR,연봉,비고,잔류 여부,FA 계약 연수,FA 계약 총액,TEAM 순위,TEAM 게임수,TEAM 타석수,TEAM 타수,TEAM 득점,TEAM 안타,TEAM 2루타,TEAM 3루타,TEAM 사구,TEAM 홈런,TEAM 타점,TEAM 도루,TEAM 도루실패,TEAM 볼넷,TEAM 삼진,TEAM 병살타,TEAM 희생플라이,TEAM 평균대비수비득점기여,TEAM 수비_포지션 RAA,TEAM 전체수비 RAA,TEAM 공격WAR,TEAM 수비WAR,TEAM 연봉,wRC+
2023,NC,권희동,CF,우투,우타,7.0,신규,B,2022,32.0,82.0,280.0,238.0,30.0,54.0,5.0,1.0,8.0,5.0,22.0,2.0,1.0,31.0,44.0,3.0,1.0,1.16,-2.19,-1.02,0.52,0.12,11000.0,대졸,잔류,1.0,1.25,6.0,144.0,5585.0,4899.0,646.0,1260.0,230.0,15.0,88.0,105.0,613.0,100.0,39.0,501.0,981.0,112.0,47.0,-7.0,-6.71,-14.51,19.94,-0.72,823200.0,89.0
2024,NC,권희동,LF,우투,우타,,FA 1년차,,2023,33.0,96.0,373.0,309.0,33.0,88.0,16.0,0.0,6.0,7.0,63.0,2.0,0.0,49.0,50.0,4.0,5.0,-2.61,-3.87,-6.47,2.26,-0.27,9000.0,,,,,4.0,144.0,5606.0,4895.0,679.0,1321.0,223.0,28.0,100.0,98.0,642.0,111.0,46.0,493.0,1005.0,122.0,55.0,14.57,2.81,5.89,23.31,1.49,568600.0,128.2
2012,SK,김강민,CF,우투,우타,9.0,신규,A,2011,29.0,80.0,310.0,281.0,37.0,79.0,14.0,1.0,2.0,8.0,33.0,9.0,4.0,20.0,56.0,3.0,2.0,1.65,-0.2,1.45,1.54,0.51,20000.0,고졸,,,,2.0,,,,,,,,,,,,,,,,,,,,,,,104.5
2013,SK,김강민,CF,우투,우타,9.0,신규,A,2012,30.0,123.0,474.0,427.0,49.0,116.0,20.0,0.0,4.0,5.0,31.0,11.0,10.0,29.0,72.0,7.0,3.0,2.77,-1.72,1.05,1.55,0.38,19000.0,고졸,,,,2.0,133.0,4996.0,4347.0,564.0,1120.0,197.0,15.0,58.0,108.0,523.0,104.0,75.0,445.0,864.0,85.0,28.0,26.13,-5.91,13.09,23.64,2.38,371100.0,94.8
2014,SK,김강민,CF,우투,우타,9.0,신규,A,2013,31.0,105.0,397.0,352.0,39.0,106.0,22.0,3.0,4.0,10.0,55.0,10.0,6.0,36.0,54.0,10.0,3.0,3.17,0.16,3.34,2.71,0.21,,고졸,,,,6.0,128.0,4950.0,4278.0,588.0,1134.0,189.0,20.0,86.0,124.0,558.0,144.0,63.0,465.0,918.0,99.0,37.0,33.96,0.05,34.01,21.13,2.79,404600.0,121.5
2015,SK,김강민,CF,우투,우타,9.0,신규,A,2014,32.0,113.0,483.0,430.0,86.0,130.0,29.0,3.0,4.0,16.0,82.0,32.0,5.0,43.0,91.0,12.0,4.0,-1.75,-0.12,-1.87,2.45,-0.15,30000.0,고졸,잔류,4.0,56.0,5.0,128.0,5082.0,4423.0,735.0,1285.0,245.0,22.0,72.0,115.0,696.0,139.0,46.0,447.0,926.0,92.0,49.0,8.13,9.44,0.35,15.79,0.21,489800.0,111.8
2017,SK,김강민,CF,우투,우타,4.0,FA 1년차,A,2016,34.0,115.0,422.0,366.0,59.0,109.0,21.0,0.0,12.0,10.0,47.0,12.0,5.0,32.0,89.0,5.0,2.0,5.2,0.0,5.2,1.83,0.46,60000.0,고졸,,,,6.0,144.0,5672.0,5023.0,753.0,1464.0,234.0,19.0,102.0,182.0,715.0,89.0,60.0,429.0,1018.0,104.0,47.0,6.75,30.26,1.12,19.17,0.6,712900.0,101.5
2018,SK,김강민,CF,우투,우타,4.0,재자격,A,2017,35.0,88.0,203.0,183.0,31.0,40.0,5.0,1.0,5.0,5.0,18.0,10.0,4.0,15.0,50.0,3.0,0.0,3.52,-0.29,3.23,-0.28,0.32,60000.0,고졸,,,,5.0,144.0,5564.0,4925.0,761.0,1337.0,222.0,15.0,113.0,234.0,733.0,53.0,42.0,427.0,1100.0,97.0,41.0,16.87,25.01,7.98,16.87,1.79,559100.0,57.5
2019,SK,김강민,CF,우투,우타,4.0,재자격,A,2018,36.0,80.0,267.0,235.0,40.0,70.0,14.0,0.0,5.0,14.0,46.0,10.0,6.0,22.0,57.0,1.0,0.0,-4.99,0.0,-4.99,1.74,-0.45,60000.0,고졸,,,,1.0,144.0,5682.0,4992.0,829.0,1403.0,234.0,13.0,119.0,233.0,791.0,108.0,39.0,483.0,1079.0,103.0,34.0,-0.75,-4.43,-10.09,22.65,0.1,560100.0,124.4
2020,SK,김강민,CF,우투,우타,4.0,재자격,A,2019,37.0,127.0,460.0,422.0,54.0,114.0,14.0,2.0,4.0,8.0,50.0,15.0,8.0,31.0,103.0,2.0,3.0,5.12,0.0,5.12,1.06,0.53,40000.0,고졸,잔류,2.0,10.0,3.0,144.0,5542.0,4919.0,655.0,1290.0,218.0,14.0,87.0,117.0,622.0,118.0,50.0,462.0,966.0,92.0,38.0,2.07,6.82,-7.97,17.87,-0.09,626100.0,87.3
