선수명,FA_직전년도,FA년도,구단명,포지션,투,타,인정년수,구분,FA등급,플레이년도,Age,G,PA,AB,R,H,2B,3B,HP,HR,RBI,SB,CS,BB,SO,GDP,SF,수비_필딩 RAA,수비_포지션 RAA,전체수비 RAA,oWAR,dWAR,연봉,비고,잔류 여부,FA 계약 연수,FA 계약 총액,TEAM RANK,TEAM G,TEAM PA,TEAM AB,TEAM R,TEAM H,TEAM 2B,TEAM 3B,TEAM HP,TEAM HR,TEAM RBI,TEAM SB,TEAM CS,TEAM BB,TEAM SO,TEAM GDP,TEAM SF,TEAM 수비_필딩 RAA,TEAM 수비_포지션 RAA,TEAM 전체수비 RAA,TEAM oWAR,TEAM dWAR,TEAM 연봉
김재호,2021,2021,두산,SS,우투,우타,4.0,재자격,B,2020,35.0,120.0,458.0,402.0,48.0,116.0,15.0,1.0,4.0,2.0,39.0,6.0,2.0,45.0,45.0,17.0,5.0,-1.59,9.12,7.53,2.07,-0.15,65000.0,고졸,잔류,3.0,25.0,2.0,144.0,5776.0,5046.0,816.0,1477.0,263.0,20.0,68.0,125.0,778.0,88.0,37.0,551.0,796.0,132.0,73.0,-16.54,-25.41,-27.23,30.64,-1.48,677600.0
김재환,2022,2022,두산,LF,우투,좌타,9.0,신규,A,2021,33.0,137.0,566.0,475.0,86.0,130.0,23.0,2.0,5.0,27.0,102.0,2.0,3.0,81.0,127.0,9.0,5.0,-6.54,-6.24,-12.78,4.83,-0.65,76000.0,고졸,잔류,4.0,115.0,2.0,144.0,5645.0,4900.0,738.0,1314.0,235.0,17.0,86.0,110.0,698.0,81.0,37.0,560.0,943.0,137.0,53.0,-0.82,-8.17,-11.12,24.7,-0.08,681500.0
김주찬,2013,2013,롯데,CF,우투,우타,9.0,신규,A,2012,31.0,118.0,488.0,435.0,62.0,128.0,27.0,3.0,7.0,5.0,39.0,32.0,13.0,30.0,48.0,7.0,5.0,-3.17,-6.02,-9.19,3.04,-0.6,27000.0,고졸,이적,4.0,50.0,4.0,133.0,5043.0,4481.0,509.0,1179.0,202.0,16.0,54.0,73.0,479.0,119.0,53.0,375.0,890.0,91.0,26.0,-41.49,13.36,-35.33,21.15,-3.15,289700.0
김주찬,2018,2018,KIA,1B,우투,우타,4.0,재자격,A,2017,36.0,122.0,478.0,440.0,78.0,136.0,39.0,2.0,4.0,12.0,70.0,9.0,2.0,31.0,59.0,17.0,1.0,4.68,-8.02,-3.34,2.13,0.43,60000.0,고졸,잔류,3.0,27.0,1.0,144.0,5841.0,5142.0,906.0,1554.0,292.0,29.0,89.0,170.0,868.0,76.0,34.0,499.0,891.0,117.0,56.0,-9.65,-22.98,-20.85,31.41,-1.42,897200.0
김태군,2020,2020,NC,C,우투,우타,9.0,신규,A,2019,30.0,18.0,28.0,22.0,0.0,4.0,0.0,0.0,2.0,0.0,1.0,0.0,0.0,4.0,8.0,1.0,0.0,1.76,0.6,2.36,0.08,0.18,23000.0,고졸,잔류,4.0,13.0,5.0,144.0,5631.0,4968.0,674.0,1383.0,249.0,26.0,83.0,128.0,639.0,87.0,45.0,456.0,880.0,126.0,60.0,10.59,22.04,3.58,25.29,0.91,796700.0
김태균,2016,2016,한화,1B,우투,우타,4.0,재자격,A,2015,33.0,133.0,524.0,408.0,61.0,129.0,28.0,0.0,12.0,21.0,104.0,3.0,1.0,98.0,80.0,19.0,5.0,2.44,-10.65,-8.2,4.43,0.23,150000.0,고졸,잔류,4.0,84.0,6.0,144.0,5716.0,4852.0,717.0,1316.0,218.0,19.0,109.0,130.0,667.0,80.0,47.0,581.0,1135.0,112.0,35.0,16.16,31.04,8.26,15.8,1.6,784600.0
김태균,2020,2020,한화,DH,우투,우타,4.0,재자격,A,2019,37.0,127.0,500.0,433.0,47.0,132.0,21.0,0.0,5.0,6.0,62.0,3.0,0.0,54.0,94.0,15.0,8.0,-2.52,-11.39,-13.91,1.58,-0.26,100000.0,고졸,잔류,1.0,10.0,9.0,144.0,5482.0,4882.0,607.0,1250.0,223.0,16.0,70.0,88.0,562.0,105.0,51.0,441.0,1090.0,112.0,45.0,-21.24,-0.29,-27.17,12.6,-2.18,668000.0
김현수,2022,2022,LG,LF,우투,좌타,4.0,자격유지,B,2021,33.0,140.0,595.0,506.0,70.0,144.0,23.0,1.0,3.0,17.0,96.0,3.0,0.0,77.0,42.0,7.0,9.0,-1.87,-9.75,-11.62,3.53,-0.19,100000.0,고졸,잔류,6.0,115.0,4.0,144.0,5533.0,4750.0,654.0,1188.0,210.0,11.0,94.0,110.0,621.0,92.0,34.0,592.0,926.0,102.0,45.0,15.39,5.93,6.34,20.58,1.28,610000.0
나성범,2022,2022,NC,DH,좌투,좌타,8.0,신규,A,2021,32.0,144.0,623.0,570.0,96.0,160.0,29.0,1.0,11.0,33.0,101.0,1.0,2.0,38.0,155.0,5.0,4.0,-2.41,-7.07,-9.48,3.16,-0.24,78000.0,대졸,이적,6.0,150.0,7.0,144.0,5532.0,4808.0,702.0,1254.0,203.0,17.0,111.0,170.0,670.0,101.0,46.0,511.0,1093.0,94.0,43.0,-14.94,3.78,-23.57,22.15,-0.97,838500.0
나지완,2017,2017,KIA,LF,우투,우타,8.0,신규,A,2016,31.0,118.0,486.0,380.0,84.0,117.0,21.0,2.0,17.0,25.0,90.0,6.0,3.0,85.0,90.0,8.0,4.0,-2.28,-10.99,-13.27,4.29,-0.2,20000.0,대졸,잔류,4.0,40.0,5.0,144.0,5696.0,4999.0,803.0,1429.0,264.0,28.0,87.0,170.0,754.0,101.0,50.0,499.0,997.0,109.0,45.0,-5.49,2.85,-16.24,21.24,-0.49,815200.0
