선수명,FA_직전년도,FA년도,구단명,포지션,투,타,인정년수,구분,FA등급,플레이년도,Age,G,PA,AB,R,H,2B,3B,HP,HR,RBI,SB,CS,BB,SO,GDP,SF,수비_필딩 RAA,수비_포지션 RAA,전체수비 RAA,oWAR,dWAR,연봉,비고,잔류 여부,FA 계약 연수,FA 계약 총액,TEAM RANK,TEAM G,TEAM PA,TEAM AB,TEAM R,TEAM H,TEAM 2B,TEAM 3B,TEAM HP,TEAM HR,TEAM RBI,TEAM SB,TEAM CS,TEAM BB,TEAM SO,TEAM GDP,TEAM SF,TEAM 수비_필딩 RAA,TEAM 수비_포지션 RAA,TEAM 전체수비 RAA,TEAM oWAR,TEAM dWAR,TEAM 연봉
장성우,2022,2022,KT,C,우투,우타,9.0,신규,B,2021,31.0,127.0,460.0,385.0,46.0,89.0,13.0,0.0,3.0,14.0,63.0,1.0,2.0,60.0,69.0,16.0,3.0,-2.41,8.66,6.25,1.85,-0.24,21000.0,35세 이상 대졸,잔류,4.0,42.0,1.0,144.0,5627.0,4810.0,719.0,1276.0,219.0,11.0,58.0,106.0,673.0,112.0,46.0,645.0,1047.0,105.0,44.0,10.21,-7.11,0.42,21.86,1.33,575800.0
전준우,2020,2020,롯데,LF,우투,우타,8.0,신규,A,2019,33.0,141.0,606.0,545.0,85.0,164.0,30.0,1.0,7.0,22.0,83.0,8.0,2.0,46.0,71.0,19.0,7.0,-4.76,-6.09,-10.85,3.45,-0.49,50000.0,대졸,잔류,4.0,34.0,10.0,144.0,5488.0,4919.0,578.0,1231.0,214.0,22.0,65.0,90.0,545.0,65.0,31.0,429.0,1085.0,108.0,40.0,-30.52,-29.69,-41.29,7.45,-3.14,1058600.0
전준우,2024,2024,롯데,DH,우투,우타,4.0,재자격,B,2023,37.0,138.0,559.0,493.0,80.0,154.0,21.0,3.0,7.0,17.0,77.0,9.0,2.0,52.0,65.0,12.0,7.0,-3.31,-10.86,-14.16,3.75,-0.34,50000.0,2번째 FA,잔류,4.0,47.0,7.0,144.0,5576.0,4871.0,653.0,1289.0,231.0,19.0,51.0,69.0,608.0,101.0,42.0,522.0,1000.0,110.0,57.0,-32.72,-29.39,-42.0,17.11,-3.34,536460.0
정근우,2013,2013,SK,2B,우투,우타,8.0,신규,A,2012,30.0,127.0,534.0,467.0,53.0,124.0,13.0,4.0,6.0,8.0,46.0,22.0,12.0,47.0,33.0,10.0,2.0,3.09,3.78,6.87,2.29,0.98,31000.0,대졸,,,,2.0,133.0,4996.0,4347.0,564.0,1120.0,197.0,15.0,58.0,108.0,523.0,104.0,75.0,445.0,864.0,85.0,28.0,26.13,-5.91,13.09,23.64,2.38,371100.0
정근우,2018,2018,한화,2B,우투,우타,4.0,재자격,A,2017,35.0,105.0,442.0,391.0,73.0,129.0,22.0,0.0,10.0,11.0,46.0,6.0,6.0,32.0,48.0,12.0,3.0,2.39,4.32,6.7,2.87,0.22,70000.0,고졸,잔류,3.0,35.0,8.0,144.0,5665.0,5030.0,737.0,1445.0,261.0,16.0,94.0,150.0,684.0,64.0,44.0,416.0,974.0,112.0,38.0,7.63,0.63,-0.35,19.39,0.85,1083900.0
정상호,2016,2016,SK,C,우투,우타,9.0,신규,A,2015,33.0,113.0,324.0,279.0,34.0,71.0,11.0,1.0,15.0,12.0,49.0,1.0,2.0,22.0,80.0,2.0,0.0,-3.11,6.38,3.28,1.58,-0.29,15500.0,고졸,이적,4.0,32.0,5.0,144.0,5588.0,4861.0,693.0,1323.0,214.0,10.0,98.0,145.0,656.0,94.0,59.0,490.0,1047.0,113.0,29.0,-20.69,-5.15,-29.84,14.72,-1.07,756700.0
정성훈,2013,2013,LG,3B,우투,우타,4.0,재자격,A,2012,32.0,107.0,438.0,365.0,50.0,113.0,27.0,3.0,1.0,12.0,53.0,3.0,3.0,65.0,62.0,13.0,5.0,-4.22,-0.93,-5.15,5.85,-1.13,35000.0,고졸,잔류,4.0,34.0,7.0,133.0,5180.0,4539.0,544.0,1184.0,212.0,18.0,53.0,59.0,512.0,140.0,57.0,458.0,857.0,107.0,50.0,-34.51,-4.59,-46.48,22.45,-5.68,345400.0
정성훈,2017,2017,LG,1B,우투,우타,4.0,재자격,A,2016,36.0,126.0,418.0,370.0,58.0,119.0,22.0,1.0,5.0,6.0,64.0,8.0,4.0,33.0,59.0,9.0,5.0,-3.75,-7.8,-11.54,1.21,-0.33,50000.0,고졸,잔류,1.0,7.0,4.0,144.0,5765.0,5051.0,786.0,1464.0,238.0,26.0,72.0,118.0,744.0,121.0,70.0,523.0,982.0,92.0,54.0,37.96,34.04,27.87,19.83,3.37,542900.0
정수빈,2021,2021,두산,CF,좌투,좌타,9.0,신규,A,2020,30.0,141.0,559.0,490.0,84.0,146.0,17.0,8.0,2.0,5.0,59.0,15.0,6.0,55.0,56.0,10.0,5.0,2.12,0.0,2.12,2.65,0.2,34000.0,고졸,잔류,6.0,56.0,2.0,144.0,5776.0,5046.0,816.0,1477.0,263.0,20.0,68.0,125.0,778.0,88.0,37.0,551.0,796.0,132.0,73.0,-16.54,-25.41,-27.23,30.64,-1.48,677600.0
정의윤,2018,2018,SK,RF,우투,우타,9.0,신규,A,2017,31.0,112.0,381.0,349.0,44.0,112.0,16.0,0.0,9.0,15.0,45.0,0.0,1.0,19.0,61.0,11.0,4.0,-0.15,-7.77,-7.92,1.24,-0.01,12000.0,고졸,잔류,4.0,29.0,5.0,144.0,5564.0,4925.0,761.0,1337.0,222.0,15.0,113.0,234.0,733.0,53.0,42.0,427.0,1100.0,97.0,41.0,16.87,25.01,7.98,16.87,1.79,559100.0
정훈,2022,2022,롯데,1B,우투,우타,9.0,신규,C,2021,34.0,135.0,561.0,486.0,70.0,142.0,27.0,1.0,3.0,14.0,79.0,8.0,1.0,68.0,89.0,6.0,3.0,0.4,-10.03,-9.63,2.62,0.04,6400.0,고졸,잔류,3.0,18.0,8.0,144.0,5726.0,5009.0,727.0,1393.0,266.0,10.0,54.0,107.0,697.0,60.0,31.0,579.0,969.0,114.0,46.0,-24.26,-13.58,-33.77,22.75,-3.11,481800.0
조동찬,2015,2015,삼성,3B,우투,우타,9.0,신규,A,2014,31.0,31.0,87.0,74.0,8.0,20.0,4.0,0.0,1.0,1.0,6.0,5.0,2.0,10.0,21.0,5.0,1.0,-2.44,0.03,-2.41,0.07,-0.22,15000.0,고졸,잔류,4.0,28.0,1.0,128.0,5152.0,4464.0,812.0,1345.0,238.0,23.0,62.0,161.0,763.0,161.0,46.0,507.0,743.0,88.0,43.0,12.63,-4.5,2.92,25.53,1.11,637700.0
조동화,2015,2015,SK,CF,좌투,좌타,9.0,신규,A,2014,33.0,125.0,522.0,443.0,74.0,116.0,12.0,5.0,4.0,2.0,52.0,37.0,7.0,43.0,72.0,8.0,4.0,-0.6,-4.31,-4.91,-0.37,-0.05,9000.0,고졸,잔류,4.0,22.0,5.0,128.0,5082.0,4423.0,735.0,1285.0,245.0,22.0,72.0,115.0,696.0,139.0,46.0,447.0,926.0,92.0,49.0,8.13,9.44,0.35,15.79,0.21,489800.0
조영훈,2017,2017,NC,1B,좌투,좌타,8.0,신규,A,2016,34.0,109.0,207.0,179.0,29.0,60.0,14.0,0.0,3.0,5.0,35.0,3.0,3.0,21.0,43.0,2.0,3.0,2.7,-3.24,-0.54,1.19,0.24,10000.0,대졸,잔류,2.0,4.5,2.0,144.0,5833.0,5007.0,857.0,1457.0,249.0,19.0,93.0,169.0,808.0,99.0,41.0,609.0,1023.0,133.0,52.0,6.4,-8.9,-3.55,24.47,0.57,723500.0
조인성,2016,2016,한화,C,우투,우타,4.0,재자격,A,2015,40.0,106.0,310.0,276.0,33.0,64.0,11.0,0.0,6.0,11.0,44.0,0.0,0.0,16.0,89.0,5.0,1.0,0.41,7.32,7.73,0.4,0.04,40000.0,고졸,잔류,2.0,10.0,6.0,144.0,5716.0,4852.0,717.0,1316.0,218.0,19.0,109.0,130.0,667.0,80.0,47.0,581.0,1135.0,112.0,35.0,16.16,31.04,8.26,15.8,1.6,784600.0
지석훈,2018,2018,NC,2B,우투,우타,9.0,신규,A,2017,33.0,121.0,304.0,268.0,29.0,64.0,16.0,0.0,10.0,6.0,24.0,1.0,0.0,22.0,67.0,8.0,2.0,0.5,3.43,3.93,0.37,0.05,14000.0,고졸,잔류,2.0,6.0,4.0,144.0,5790.0,5079.0,786.0,1489.0,277.0,19.0,130.0,149.0,739.0,93.0,32.0,471.0,979.0,119.0,48.0,16.48,35.2,6.55,24.87,1.52,713700.0
차일목,2015,2015,KIA,C,우투,우타,8.0,신규,A,2014,33.0,94.0,224.0,185.0,17.0,35.0,6.0,0.0,2.0,2.0,18.0,0.0,2.0,24.0,28.0,7.0,2.0,4.99,5.23,10.22,-0.74,0.44,10000.0,대졸,잔류,2.0,4.5,8.0,128.0,5023.0,4443.0,662.0,1279.0,246.0,27.0,62.0,121.0,631.0,121.0,63.0,416.0,870.0,95.0,35.0,-26.55,-9.84,-37.32,13.86,-2.36,424500.0
채은성,2023,2023,LG,1B,우투,우타,8.0,신규,A,2022,32.0,126.0,526.0,467.0,48.0,138.0,26.0,2.0,21.0,12.0,83.0,6.0,7.0,27.0,88.0,16.0,11.0,-0.03,-10.36,-10.39,2.13,0.0,30000.0,고졸,이적,6.0,90.0,3.0,144.0,5627.0,4927.0,715.0,1325.0,208.0,33.0,103.0,118.0,674.0,102.0,46.0,501.0,924.0,109.0,46.0,21.98,24.7,13.13,28.62,2.26,784300.0
채태인,2018,2018,넥센,1B,좌투,좌타,9.0,신규,A,2017,35.0,109.0,384.0,342.0,46.0,110.0,23.0,1.0,5.0,12.0,62.0,0.0,1.0,34.0,94.0,9.0,3.0,-2.85,-7.74,-10.59,1.77,-0.26,30000.0,고졸,이적,2.0,10.0,7.0,144.0,5712.0,5098.0,789.0,1479.0,267.0,30.0,83.0,141.0,748.0,70.0,34.0,468.0,1066.0,129.0,42.0,-33.5,14.52,-42.19,20.41,-2.79,443100.0
최재훈,2022,2022,한화,C,우투,우타,9.0,신규,B,2021,32.0,116.0,467.0,375.0,52.0,103.0,21.0,0.0,12.0,7.0,44.0,3.0,2.0,72.0,68.0,16.0,3.0,7.02,9.62,16.64,4.22,0.7,20000.0,고졸,잔류,5.0,54.0,10.0,144.0,5495.0,4685.0,599.0,1111.0,213.0,17.0,74.0,80.0,554.0,109.0,56.0,633.0,1286.0,110.0,49.0,18.72,1.89,14.73,10.44,1.77,465400.0
최정,2015,2015,SK,3B,우투,우타,9.0,신규,A,2014,27.0,82.0,361.0,308.0,65.0,94.0,20.0,0.0,12.0,14.0,76.0,7.0,2.0,37.0,69.0,9.0,3.0,0.03,-0.1,-0.07,2.43,0.0,52000.0,고졸,잔류,4.0,86.0,5.0,128.0,5082.0,4423.0,735.0,1285.0,245.0,22.0,72.0,115.0,696.0,139.0,46.0,447.0,926.0,92.0,49.0,8.13,9.44,0.35,15.79,0.21,489800.0
최정,2019,2019,SK,3B,우투,우타,4.0,재자격,A,2018,31.0,115.0,489.0,406.0,95.0,99.0,16.0,1.0,23.0,35.0,74.0,9.0,2.0,58.0,129.0,10.0,2.0,4.52,-0.79,3.73,2.86,0.4,120000.0,고졸,잔류,6.0,106.0,1.0,144.0,5682.0,4992.0,829.0,1403.0,234.0,13.0,119.0,233.0,791.0,108.0,39.0,483.0,1079.0,103.0,34.0,-0.75,-4.43,-10.09,22.65,0.1,560100.0
최주환,2021,2021,두산,2B,우투,좌타,9.0,신규,A,2020,32.0,140.0,574.0,509.0,63.0,156.0,29.0,4.0,7.0,16.0,88.0,2.0,2.0,47.0,66.0,7.0,10.0,0.3,3.45,3.75,4.49,0.03,38500.0,고졸,이적,4.0,42.0,2.0,144.0,5776.0,5046.0,816.0,1477.0,263.0,20.0,68.0,125.0,778.0,88.0,37.0,551.0,796.0,132.0,73.0,-16.54,-25.41,-27.23,30.64,-1.48,677600.0
최준석,2014,2014,두산,DH,우투,우타,9.0,신규,A,2013,30.0,100.0,263.0,222.0,22.0,60.0,8.0,0.0,0.0,7.0,36.0,0.0,0.0,39.0,47.0,7.0,2.0,-10.54,-2.88,-13.42,1.64,-1.38,17000.0,고졸,이적,4.0,35.0,2.0,128.0,5142.0,4401.0,699.0,1271.0,217.0,37.0,79.0,95.0,654.0,172.0,61.0,524.0,717.0,105.0,56.0,8.01,-0.56,7.44,36.32,1.04,345000.0
최준석,2018,2018,롯데,DH,우투,우타,4.0,재자격,A,2017,34.0,125.0,464.0,409.0,43.0,119.0,15.0,0.0,1.0,14.0,82.0,0.0,0.0,49.0,89.0,24.0,5.0,-3.22,-10.42,-13.64,0.54,-0.3,40000.0,고졸,이적,1.0,0.55,3.0,144.0,5671.0,4994.0,743.0,1425.0,250.0,17.0,112.0,151.0,697.0,92.0,44.0,457.0,1018.0,146.0,32.0,16.21,8.53,6.5,17.96,1.67,858600.0
최진행,2019,2019,한화,DH,우투,우타,9.0,신규,A,2018,33.0,57.0,154.0,136.0,14.0,29.0,3.0,0.0,3.0,7.0,13.0,0.0,1.0,15.0,53.0,5.0,0.0,3.25,-1.69,1.56,-0.34,0.29,17000.0,고졸,잔류,2.0,26.0,3.0,144.0,5539.0,4972.0,729.0,1369.0,249.0,14.0,88.0,151.0,668.0,118.0,64.0,420.0,1098.0,113.0,28.0,24.57,11.38,15.86,12.72,2.19,562100.0
최형우,2017,2017,삼성,LF,우투,좌타,9.0,신규,A,2016,33.0,138.0,618.0,519.0,99.0,195.0,46.0,2.0,9.0,31.0,144.0,2.0,2.0,83.0,83.0,12.0,7.0,-2.62,-6.35,-8.97,7.48,-0.23,60000.0,고졸,이적,4.0,100.0,9.0,144.0,5863.0,5093.0,852.0,1492.0,249.0,34.0,75.0,142.0,792.0,104.0,50.0,552.0,864.0,119.0,55.0,4.26,7.39,-7.13,20.37,0.36,574700.0
최형우,2021,2021,KIA,DH,우투,좌타,4.0,재자격,B,2020,37.0,140.0,600.0,522.0,93.0,185.0,37.0,1.0,5.0,28.0,115.0,0.0,0.0,70.0,101.0,9.0,3.0,-0.74,-14.32,-15.06,6.32,-0.07,150000.0,고졸,잔류,3.0,47.0,6.0,144.0,5642.0,4937.0,724.0,1355.0,224.0,13.0,69.0,130.0,692.0,47.0,25.0,535.0,957.0,114.0,38.0,-42.81,-45.02,-51.42,18.99,-3.74,787700.0
한상훈,2014,2014,한화,SS,우투,좌타,8.0,신규,A,2013,33.0,101.0,322.0,260.0,45.0,68.0,13.0,4.0,6.0,0.0,25.0,5.0,4.0,47.0,40.0,7.0,3.0,6.72,3.82,10.54,1.46,1.03,11000.0,대졸,잔류,4.0,13.0,9.0,128.0,4915.0,4271.0,480.0,1106.0,212.0,13.0,80.0,47.0,448.0,70.0,49.0,479.0,933.0,140.0,30.0,-7.66,2.52,-5.15,14.72,-2.34,321700.0
허경민,2021,2021,두산,3B,우투,우타,9.0,신규,A,2020,30.0,117.0,487.0,437.0,70.0,145.0,25.0,1.0,5.0,7.0,58.0,14.0,6.0,35.0,28.0,10.0,7.0,7.26,1.08,8.34,3.31,0.68,48000.0,고졸,잔류,7.0,85.0,2.0,144.0,5776.0,5046.0,816.0,1477.0,263.0,20.0,68.0,125.0,778.0,88.0,37.0,551.0,796.0,132.0,73.0,-16.54,-25.41,-27.23,30.64,-1.48,677600.0
허도환,2022,2022,KT,C,우투,우타,8.0,신규,C,2021,37.0,62.0,125.0,105.0,8.0,29.0,6.0,0.0,2.0,2.0,21.0,0.0,0.0,8.0,28.0,3.0,0.0,0.7,2.83,3.53,0.59,0.07,7500.0,고졸,이적,2.0,4.0,1.0,144.0,5627.0,4810.0,719.0,1276.0,219.0,11.0,58.0,106.0,673.0,112.0,46.0,645.0,1047.0,105.0,44.0,10.21,-7.11,0.42,21.86,1.33,575800.0
홍성흔,2013,2013,롯데,DH,우투,우타,4.0,재자격,A,2012,35.0,113.0,443.0,390.0,48.0,114.0,20.0,0.0,2.0,15.0,74.0,4.0,5.0,47.0,83.0,10.0,3.0,-1.64,8.94,7.3,3.97,0.52,40000.0,고졸,이적,4.0,21.0,4.0,133.0,5043.0,4481.0,509.0,1179.0,202.0,16.0,54.0,73.0,479.0,119.0,53.0,375.0,890.0,91.0,26.0,-41.49,13.36,-35.33,21.15,-3.15,289700.0
황재균,2022,2022,KT,3B,우투,우타,4.0,재자격,B,2021,34.0,117.0,507.0,453.0,74.0,132.0,16.0,2.0,3.0,10.0,56.0,11.0,4.0,46.0,92.0,11.0,4.0,4.16,-0.12,4.04,2.41,0.41,80000.0,고졸,잔류,4.0,60.0,1.0,144.0,5627.0,4810.0,719.0,1276.0,219.0,11.0,58.0,106.0,673.0,112.0,46.0,645.0,1047.0,105.0,44.0,10.21,-7.11,0.42,21.86,1.33,575800.0
