FA년도,구단명,선수명,포지션,투,타,인정년수,구분,FA등급,플레이년도,Age,G,PA,AB,R,H,2B,3B,HP,HR,RBI,SB,CS,BB,SO,GDP,SF,수비_필딩 RAA,수비_포지션 RAA,전체수비 RAA,oWAR,dWAR,연봉,비고,잔류 여부,FA 계약 연수,FA 계약 총액,TEAM RANK,TEAM G,TEAM PA,TEAM AB,TEAM R,TEAM H,TEAM 2B,TEAM 3B,TEAM HP,TEAM HR,TEAM RBI,TEAM SB,TEAM CS,TEAM BB,TEAM SO,TEAM GDP,TEAM SF,TEAM 수비_필딩 RAA,TEAM 수비_포지션 RAA,TEAM 전체수비 RAA,TEAM oWAR,TEAM dWAR,TEAM 연봉
2021,LG,김민성,3B,우투,우타,4,FA 1년차,B,2020,32,87,333,297,29,79,20,0,4,5,47,2,1,24,66,8,4,-1.79,-0.24,-2.03,0.76,-0.17,40000,2번째 FA,,,,4,144,5681,4999,802,1384,253,29,75,149,760,83,39,509,969,115,49,3.39,0.85,-5.11,26.1,0.33,703800
2022,LG,김민성,3B,우투,우타,4,재자격,B,2021,33,121,426,360,35,80,22,0,8,8,39,3,3,42,73,7,5,6.35,0.04,6.39,0.78,0.63,40000,2번째 FA,,,,4,144,5533,4750,654,1188,210,11,94,110,621,92,34,592,926,102,45,15.39,5.93,6.34,20.58,1.28,610000
2023,LG,김민성,3B,우투,우타,4,재자격,B,2022,34,92,157,140,16,29,4,0,3,3,20,0,1,10,27,4,1,-2.62,0.03,-2.59,-0.23,-0.27,18000,2번째 FA,,,,3,144,5627,4927,715,1325,208,33,103,118,674,102,46,501,924,109,46,21.98,24.7,13.13,28.62,2.26,784300
2024,LG,김민성,2B,우투,우타,4,재자격,B,2023,35,112,316,273,34,68,11,0,7,8,41,2,1,25,58,7,2,4.72,1.58,6.3,1.14,0.48,18000,2번째 FA,잔류,3,9,1,144,5687,4881,767,1364,227,27,73,93,714,166,101,583,804,89,55,6.8,34.27,-1.96,31.56,0.69,556000
2025,롯데,김민성,3B,우투,우타,,FA 1년차,,2024,36,35,84,70,6,14,5,0,3,2,8,0,1,10,18,1,1,0.45,0.06,0.51,0.06,0.03,20000,,,,,7,144,5766,5110,802,1454,285,41,68,125,757,105,42,494,1079,100,57,-39.36,-21.57,-49.87,20.48,-3.14,625000
2021,KIA,김민식,C,우투,좌타,7,신규,C,2020,31,69,238,211,22,53,6,0,4,2,21,0,0,17,28,3,2,4.54,5.33,9.87,0.23,0.43,8800,대졸,,,,6,144,5642,4937,724,1355,224,13,69,130,692,47,25,535,957,114,38,-42.81,-45.02,-51.42,18.99,-3.74,787700
2022,KIA,김민식,C,우투,좌타,7,신규,C,2021,32,100,301,250,30,55,8,0,0,3,26,0,0,41,49,2,3,-2.19,6.6,4.41,1.04,-0.22,8500,대졸,,,,9,144,5577,4831,568,1198,183,21,73,66,546,73,31,595,921,119,37,-0.46,-15.19,-10.36,10.2,0.1,428400
2023,SSG,김민식,C,우투,좌타,7,신규,C,2022,33,104,266,222,30,49,9,1,2,2,28,0,0,32,45,4,3,-0.49,3.74,3.25,0.61,0.09,9500,대졸,,,,1,144,5642,4893,720,1245,242,18,95,138,682,98,39,530,1075,96,47,31.78,20.6,22.28,23.68,3.53,1191700
2024,SSG,김민식,C,우투,좌타,7,신규,C,2023,34,122,318,266,28,58,9,1,2,5,34,0,0,31,57,6,2,4.81,7.44,12.25,0.84,0.49,15000,대졸,잔류,2,5,3,144,5630,4923,658,1279,229,16,78,125,611,96,28,507,943,89,45,-11.75,-17.27,-21.21,21.42,-1.24,815400
2025,SSG,김민식,C,우투,좌타,,FA 1년차,,2024,35,45,126,106,10,22,5,0,0,1,10,0,0,16,33,2,0,-2.2,2.9,0.7,-0.05,-0.21,15000,,,,,6,144,5647,5001,756,1367,239,20,77,152,724,149,39,470,1095,85,48,-22.91,-5.11,-29.87,16.18,-2.03,563000
2016,삼성,김상수,SS,우투,우타,9,신규,A,2015,25,132,518,449,67,125,30,4,6,8,63,26,5,43,56,9,7,-1.89,10.3,8.41,2.79,-0.17,32000,고졸,,,,2,144,5803,5019,897,1515,259,25,70,176,850,157,52,581,930,109,57,0.96,5.77,-8.74,32.86,0.08,693600
2017,삼성,김상수,SS,우투,우타,9,신규,A,2016,26,105,401,358,56,97,13,0,8,3,38,6,4,23,39,9,4,-2.69,8.02,5.33,0.38,-0.24,31000,고졸,,,,9,144,5863,5093,852,1492,249,34,75,142,792,104,50,552,864,119,55,4.26,7.39,-7.13,20.37,0.36,574700
2018,삼성,김상수,SS,우투,우타,9,신규,A,2017,27,42,154,144,17,38,7,0,1,3,13,1,1,5,26,4,1,-0.91,3,2.09,0.02,-0.08,31000,고졸,,,,9,144,5707,5095,757,1419,255,36,70,145,703,98,37,429,983,97,55,-1.69,14.99,-12.01,14.27,-0.16,582400
2019,삼성,김상수,SS,우투,우타,9,신규,A,2018,28,122,499,453,63,119,13,1,8,10,50,12,9,27,91,11,3,-3.04,9.76,6.72,0.31,-0.27,24000,고졸,잔류,3,18,6,144,5766,5109,776,1471,241,29,87,146,732,116,52,468,1034,115,45,-21,1.16,-29.04,15.23,-1.88,598700
2020,삼성,김상수,2B,우투,우타,4,FA 1년차,B,2019,29,129,543,468,76,127,20,2,15,5,38,21,3,50,67,14,4,-3.3,5.19,1.9,2.95,-0.34,25000,고졸,,,,8,144,5533,4866,622,1245,230,26,78,122,598,107,42,478,976,107,53,0.76,1.45,-6.85,15.84,0.08,619900
2021,삼성,김상수,2B,우투,우타,4,재자격,B,2020,30,120,471,404,71,123,18,3,8,5,47,10,3,55,55,16,2,-0.19,3.92,3.73,3.03,-0.02,25000,고졸,,,,8,144,5574,4923,699,1317,211,12,62,129,658,132,49,486,990,117,53,7.63,37.86,-0.69,12.29,0.72,548800
2022,삼성,김상수,2B,우투,우타,4,재자격,B,2021,31,132,496,429,46,101,17,1,3,3,42,4,2,52,51,14,4,-4.3,4.91,0.61,0.28,-0.43,25000,고졸,,,,3,144,5552,4836,712,1292,204,18,55,133,669,116,44,545,902,98,68,-10.3,12.57,-19.22,18.47,-1.19,578200
2023,삼성,김상수,SS,우투,우타,4,재자격,B,2022,32,72,260,235,30,59,11,0,1,2,29,2,1,18,44,6,2,-6.01,3.98,-2.03,0.38,-0.62,25000,고졸,이적,4,29,7,144,5647,5023,663,1358,241,19,54,103,627,91,27,446,1029,119,41,-21.46,0.42,-28.41,18.17,-2.21,842300
2024,KT,김상수,SS,우투,우타,,FA 1년차,,2023,33,129,512,443,58,120,19,1,3,3,56,5,6,55,68,9,3,-4.17,10.18,6.01,2.7,-0.43,50000,,,,,2,144,5649,4973,672,1316,235,14,48,89,621,87,30,524,1074,96,47,20.26,29.09,12.34,18.9,2.07,676100
2013,KIA,김상현,3B,우투,우타,9,신규,A,2012,32,32,126,116,17,30,9,0,3,4,17,1,2,6,26,3,0,0.58,-1.4,-0.82,0.59,-0.15,20000,고졸,,,,5,133,5131,4348,553,1112,197,19,60,54,518,132,51,544,790,100,47,10.53,-0.12,3.09,24.75,0.09,263000
2014,SK,김상현,LF,우투,우타,9,신규,A,2013,33,113,360,322,39,76,17,0,4,7,37,8,1,29,84,17,4,-3.98,-1.98,-5.96,0.19,-0.85,20000,고졸,,,,6,128,4950,4278,588,1134,189,20,86,124,558,144,63,465,918,99,37,33.96,0.05,34.01,21.13,2.79,404600
2015,SK,김상현,LF,우투,우타,9,신규,A,2014,34,42,87,80,8,21,3,1,1,5,20,1,1,5,22,2,1,-0.56,-0.82,-1.39,0.16,-0.05,16000,고졸,,,,5,128,5082,4423,735,1285,245,22,72,115,696,139,46,447,926,92,49,8.13,9.44,0.35,15.79,0.21,489800
2016,KT,김상현,LF,우투,우타,9,신규,A,2015,35,134,539,475,71,133,20,0,8,27,88,4,5,50,115,21,6,-8.93,-9.22,-18.16,1.43,-0.83,16000,고졸,잔류,2,10,10,144,5605,4927,670,1344,221,15,58,129,633,124,52,507,1112,118,37,-42,-31.47,-50.22,11.8,-3.79,395000
2017,KT,김상현,LF,우투,우타,,FA 1년차,,2016,36,62,246,222,29,50,5,0,2,11,32,0,1,20,48,10,2,1.07,-4.95,-3.88,-0.72,0.09,20000,,,,,10,144,5620,4963,672,1369,214,11,48,116,639,96,46,499,933,130,45,-54.62,-74.39,-63.91,6.52,-4.84,492000
2017,KIA,김선빈,SS,우투,우타,9,신규,A,2016,27,6,27,25,3,9,2,1,0,0,0,1,1,1,3,1,0,0.8,0.54,1.34,0.28,0.07,8000,고졸,,,,5,144,5696,4999,803,1429,264,28,87,170,754,101,50,499,997,109,45,-5.49,2.85,-16.24,21.24,-0.49,815200
2018,KIA,김선빈,SS,우투,우타,9,신규,A,2017,28,137,529,476,84,176,34,1,5,5,64,4,4,39,40,10,4,0.78,10.34,11.12,5.24,0.07,8000,고졸,,,,1,144,5841,5142,906,1554,292,29,89,170,868,76,34,499,891,117,56,-9.65,-22.98,-20.85,31.41,-1.42,897200
