FA년도,구단명,선수명,포지션,투,타,인정년수,구분,FA등급,플레이년도,Age,G,PA,AB,R,H,2B,3B,HP,HR,RBI,SB,CS,BB,SO,GDP,SF,수비_필딩 RAA,수비_포지션 RAA,전체수비 RAA,oWAR,dWAR,연봉,비고,잔류 여부,FA 계약 연수,FA 계약 총액,TEAM RANK,TEAM G,TEAM PA,TEAM AB,TEAM R,TEAM H,TEAM 2B,TEAM 3B,TEAM HP,TEAM HR,TEAM RBI,TEAM SB,TEAM CS,TEAM BB,TEAM SO,TEAM GDP,TEAM SF,TEAM 수비_필딩 RAA,TEAM 수비_포지션 RAA,TEAM 전체수비 RAA,TEAM oWAR,TEAM dWAR,TEAM 연봉
2023,NC,노진혁,3B,우투,좌타,7,신규,B,2022,33,115,451,396,50,111,24,0,2,15,75,2,0,45,105,11,5,-5.52,3.98,-1.54,3.43,-0.57,23000,대졸,이적,4,50,6,144,5585,4899,646,1260,230,15,88,105,613,100,39,501,981,112,47,-7,-6.71,-14.51,19.94,-0.72,823200
2024,롯데,노진혁,SS,우투,좌타,,FA 1년차,,2023,34,113,390,334,43,86,26,1,3,4,51,7,2,45,84,3,4,-0.44,7.43,6.99,2.36,-0.04,50000,,,,,7,144,5576,4871,653,1289,231,19,51,69,608,101,42,522,1000,110,57,-32.72,-29.39,-42,17.11,-3.34,536460
2016,NC,모창민,3B,우투,우타,8,신규,A,2015,30,103,239,214,23,62,14,0,0,6,35,5,0,18,52,5,3,-3.5,-0.73,-4.23,0.73,-0.32,14000,대졸,,,,3,144,5727,4967,844,1437,283,28,106,161,802,204,60,536,1023,105,53,27.49,15.93,18.08,28.15,2.27,440600
2017,NC,모창민,3B,우투,우타,8,신규,A,2016,31,63,147,133,16,44,8,0,0,5,20,3,2,9,24,7,3,6.04,-0.73,5.31,0.72,0.54,12500,대졸,,,,2,144,5833,5007,857,1457,249,19,93,169,808,99,41,609,1023,133,52,6.4,-8.9,-3.55,24.47,0.57,723500
2018,NC,모창민,3B,우투,우타,8,신규,A,2017,32,136,527,474,64,148,25,3,3,17,90,9,6,39,81,6,9,1.9,-9.16,-7.26,1.88,0.17,11700,대졸,,,,4,144,5790,5079,786,1489,277,19,130,149,739,93,32,471,979,119,48,16.48,35.2,6.55,24.87,1.52,713700
2019,NC,모창민,3B,우투,우타,8,신규,A,2018,33,81,314,287,38,80,10,1,1,17,62,2,3,21,51,10,4,-1.49,-2.72,-4.21,0.73,-0.13,18500,대졸,잔류,3,20,10,144,5488,4895,660,1280,233,18,88,143,629,82,35,427,1081,115,43,2.07,19.6,-8.48,5.69,0.25,544500
2020,NC,모창민,1B,우투,우타,,FA 1년차,,2019,34,101,386,341,49,104,21,2,2,10,55,3,2,31,62,8,11,-1.72,-7.96,-9.68,1.5,-0.18,30000,,,,,5,144,5631,4968,674,1383,249,26,83,128,639,87,45,456,880,126,60,10.59,22.04,3.58,25.29,0.91,796700
2015,롯데,문규현,SS,우투,우타,9,신규,A,2014,31,77,275,235,33,66,16,0,0,2,27,5,2,26,30,7,2,3.26,5.49,8.75,0.78,0.29,6800,고졸,,,,7,128,5194,4487,716,1288,252,26,70,121,685,63,41,534,964,95,41,1.14,15.71,-6.57,16.88,0.1,510600
2016,롯데,문규현,SS,우투,우타,9,신규,A,2015,32,105,298,265,24,65,12,1,1,2,25,4,2,14,39,6,3,2.35,5.94,8.29,-0.43,0.22,8500,고졸,,,,8,144,5680,4972,765,1393,254,19,68,177,727,104,50,532,1186,136,28,22.19,15.39,13.9,18.66,2.33,624400
2017,롯데,문규현,SS,우투,우타,9,신규,A,2016,33,120,368,316,38,86,10,0,1,4,40,2,3,29,39,10,2,11.79,7.1,18.89,0.48,1.05,9000,고졸,,,,8,144,5784,5001,777,1439,252,20,83,127,732,145,64,596,1061,120,41,-7.33,6.21,-16.83,17.82,-0.54,730200
2018,롯데,문규현,SS,우투,우타,9,신규,A,2017,34,110,337,304,38,82,15,2,2,6,42,2,1,10,42,10,3,-0.47,5.26,4.79,0.21,-0.04,12000,고졸,잔류,3,10,3,144,5671,4994,743,1425,250,17,112,151,697,92,44,457,1018,146,32,16.21,8.53,6.5,17.96,1.67,858600
2019,롯데,문규현,SS,우투,우타,,FA 1년차,,2018,35,122,349,316,42,87,19,1,0,6,41,3,1,18,45,9,6,-1.88,6.66,4.78,0.43,-0.17,18000,,,,,7,144,5764,5130,821,1484,289,17,81,203,792,68,32,471,1157,124,37,0.51,6.93,-12.15,21.63,0.05,836900
2015,두산,민병헌,RF,우투,우타,9,신규,A,2014,27,124,527,470,85,162,31,3,6,12,79,16,8,37,63,11,6,1.39,-5.17,-3.78,3.09,0.12,14500,고졸,,,,6,128,5083,4427,687,1299,235,26,64,108,646,111,44,468,731,103,43,-11.11,-15.9,-19.65,19.88,-0.98,336800
2016,두산,민병헌,RF,우투,우타,9,신규,A,2015,28,129,561,491,80,149,20,2,8,12,75,7,3,50,74,15,6,1.29,-5.09,-3.79,2.48,0.12,28000,고졸,,,,1,144,5759,4957,807,1436,254,22,99,140,770,111,47,567,820,139,60,4.5,-15.85,-3.26,29.31,0.42,588000
2017,두산,민병헌,RF,우투,우타,9,신규,A,2016,29,134,579,511,98,166,31,4,15,16,87,9,2,48,91,18,4,-3.47,-3.29,-6.75,3.62,-0.31,35000,고졸,,,,1,144,5841,5044,935,1504,284,25,86,183,877,85,45,600,884,121,68,2.92,4.73,-5.63,33.4,0.45,567400
2018,두산,민병헌,RF,우투,우타,9,신규,A,2017,30,123,520,447,73,136,21,0,19,14,71,3,4,47,74,14,6,-5.36,-4.47,-9.83,2.53,-0.49,55000,고졸,이적,4,80,2,144,5833,5102,849,1499,270,20,95,178,812,69,33,541,960,120,47,-0.18,-17.54,-7.54,32.2,-0.14,473500
2019,롯데,민병헌,CF,우투,우타,,FA 1년차,,2018,31,118,494,443,74,141,21,0,8,17,66,8,3,35,68,10,6,5.73,-0.98,4.75,2.74,0.51,100000,,,,,7,144,5764,5130,821,1484,289,17,81,203,792,68,32,471,1157,124,37,0.51,6.93,-12.15,21.63,0.05,836900
2019,두산,박건우,CF,우투,우타,9,신규,A,2018,28,125,529,488,79,159,24,6,10,12,84,7,3,28,65,14,2,0.49,-1.16,-0.67,2.79,0.04,37000,고졸,,,,2,144,5870,5176,944,1601,284,30,92,191,898,96,23,496,1016,112,63,31.25,30.09,23.63,37.38,2.69,690700
2020,두산,박건우,RF,우투,우타,9,신규,A,2019,29,127,537,458,83,146,27,5,7,10,64,12,3,60,57,23,11,3.26,-5.12,-1.86,4.7,0.34,38500,고졸,,,,1,144,5670,4913,736,1364,235,31,72,84,691,102,38,563,799,117,83,20.76,20.57,11.54,29.09,2.13,596100
2021,두산,박건우,RF,우투,우타,9,신규,A,2020,30,129,551,487,103,148,40,0,12,14,70,8,2,42,65,9,7,0.11,-5.22,-5.11,3.63,0.01,45000,고졸,,,,2,144,5776,5046,816,1477,263,20,68,125,778,88,37,551,796,132,73,-16.54,-25.41,-27.23,30.64,-1.48,677600
2022,두산,박건우,RF,우투,우타,9,신규,A,2021,31,126,525,458,82,149,31,2,11,6,63,13,0,50,72,16,6,-1.79,-3.42,-5.21,4.37,-0.18,48000,고졸,이적,6,100,2,144,5645,4900,738,1314,235,17,86,110,698,81,37,560,943,137,53,-0.82,-8.17,-11.12,24.7,-0.08,681500
2023,NC,박건우,CF,우투,우타,,FA 1년차,,2022,32,111,463,408,52,137,18,1,8,10,61,3,3,44,62,10,3,-2.36,-2.57,-4.93,4.09,-0.24,190000,,,,,6,144,5585,4899,646,1260,230,15,88,105,613,100,39,501,981,112,47,-7,-6.71,-14.51,19.94,-0.72,823200
2012,LG,박경수,2B,우투,우타,9,신규,A,2011,27,111,386,317,36,72,11,1,,4,26,10,8,48,66,7,4,-0.97,7.74,6.78,0.59,0.76,8000,고졸,,,,6,,,,,,,,,,,,,,,,,,,,,,
2013,군 복무,박경수,,우투,우타,9,신규,A,2012,28,,,,,,,,,,,,,,,,,,,,,,,고졸,,,,,,,,,,,,,,,,,,,,,,,,,,
2014,군 복무,박경수,,우투,우타,9,신규,A,2013,29,,,,,,,,,,,,,,,,,,,,,,,고졸,,,,,,,,,,,,,,,,,,,,,,,,,,
2015,LG,박경수,2B,우투,우타,9,신규,A,2014,30,87,201,162,33,37,6,1,5,2,19,7,1,25,33,6,3,-4.09,1.91,-2.18,0.37,-0.36,9000,고졸,이적,4,18.2,4,128,5070,4349,668,1214,213,22,63,90,622,105,64,524,817,112,57,10.35,-11.98,0.93,13.69,0.92,502800
2016,KT,박경수,2B,우투,우타,4,FA 1년차,A,2015,31,137,537,440,75,125,30,1,13,22,73,6,4,74,115,8,4,4.31,5.04,9.35,4.76,0.4,23000,고졸,,,,10,144,5605,4927,670,1344,221,15,58,129,633,124,52,507,1112,118,37,-42,-31.47,-50.22,11.8,-3.79,395000
2017,KT,박경수,2B,우투,우타,4,재자격,A,2016,32,121,476,402,64,126,22,1,5,20,80,3,1,65,80,9,4,2.58,3.72,6.31,3.99,0.23,23000,고졸,,,,10,144,5620,4963,672,1369,214,11,48,116,639,96,46,499,933,130,45,-54.62,-74.39,-63.91,6.52,-4.84,492000
2018,KT,박경수,2B,우투,우타,4,재자격,A,2017,33,131,511,442,62,116,27,1,6,15,66,1,2,57,118,14,3,0.45,4.07,4.52,1.85,0.04,23000,고졸,,,,10,144,5485,4937,655,1360,274,17,66,119,625,86,51,374,1017,118,45,-43.57,-32.55,-49.97,8.66,-4,494600
2019,KT,박경수,2B,우투,우타,4,재자격,A,2018,34,135,528,458,65,120,21,0,9,25,74,4,1,58,129,16,3,-1.76,4.45,2.69,2.63,-0.16,23000,고졸,잔류,3,26,9,144,5605,5026,757,1382,264,13,46,206,721,80,57,464,1109,103,26,-2.41,-7.35,-12.03,16.22,-0.35,607700
2020,KT,박경수,2B,우투,우타,,FA 1년차,,2019,35,137,490,421,43,104,24,0,4,10,65,0,1,55,102,14,6,7.54,4.72,12.26,2.06,0.78,40000,,,,,6,144,5582,4965,650,1375,187,20,52,103,615,104,44,475,975,113,45,36.35,39.04,26.31,21.52,3.72,514900
2012,군 복무,박기혁,,우투,우타,9,자격유지,A,2011,30,,,,,,,,,,,,,,,,,,,,,,,고졸,,,,,,,,,,,,,,,,,,,,,,,,,,
2013,군 복무,박기혁,,우투,우타,9,자격유지,A,2012,31,,,,,,,,,,,,,,,,,,,,,,,고졸,,,,,,,,,,,,,,,,,,,,,,,,,,
2014,롯데,박기혁,SS,우투,우타,9,자격유지,A,2013,32,31,70,60,4,12,2,0,0,0,9,1,3,9,11,3,0,-2.83,1.43,-1.4,-0.31,-0.24,12000,고졸,,,,5,128,4978,4289,556,1118,208,18,71,61,522,133,58,503,862,92,41,17.08,1.43,18.51,15.17,2.53,311900
2015,롯데,박기혁,SS,우투,우타,9,자격유지,A,2014,33,22,63,51,8,8,2,0,0,0,2,0,1,10,11,1,0,-1.36,1.24,-0.12,-0.24,-0.12,7000,고졸,이적,4,11.4,7,128,5194,4487,716,1288,252,26,70,121,685,63,41,534,964,95,41,1.14,15.71,-6.57,16.88,0.1,510600
2016,KT,박기혁,SS,우투,우타,,FA 1년차,,2015,34,126,350,300,27,84,13,1,3,1,30,3,0,30,84,10,1,0.09,6.73,6.82,0.93,0.01,15000,,,,,10,144,5605,4927,670,1344,221,15,58,129,633,124,52,507,1112,118,37,-42,-31.47,-50.22,11.8,-3.79,395000
2020,키움,박동원,C,우투,우타,9,신규,A,2019,29,112,361,317,50,94,15,1,2,10,55,1,0,34,56,10,1,4.02,4.82,8.85,2.97,0.41,9000,고졸,,,,2,144,5658,4991,780,1405,251,38,69,112,741,110,33,514,943,122,48,-9.68,-15.38,-17.74,31.31,-1,403100
2021,키움,박동원,C,우투,우타,9,신규,A,2020,30,112,372,324,45,81,21,0,6,12,50,0,0,38,68,10,2,0.39,6.17,6.56,2.21,0.04,22500,고졸,,,,5,144,5721,4945,759,1332,254,25,73,127,713,113,27,608,1030,107,52,10.87,24.31,4.63,23.86,1.02,651300
2022,키움,박동원,C,우투,우타,9,신규,A,2021,31,131,481,413,61,103,21,0,7,22,83,2,0,53,114,12,3,2.58,1.7,4.29,2.89,0.26,23000,고졸,,,,5,144,5653,4874,722,1262,244,28,93,91,671,97,26,595,1053,93,56,20.06,18.06,13.53,20.78,1.77,615900
2023,KIA,박동원,C,우투,우타,9,신규,A,2022,32,123,447,385,52,93,21,0,9,18,57,1,0,45,95,9,1,4.43,0.65,5.08,3.05,0.05,31000,고졸,이적,4,65,5,144,5703,5000,720,1361,250,19,63,113,677,103,34,542,983,111,36,5.59,3.87,-1.59,28.69,0.19,567000
2024,LG,박동원,C,우투,우타,,FA 1년차,,2023,33,130,481,409,54,102,17,1,7,20,75,0,1,49,90,7,8,1.07,10.85,11.91,4.02,0.11,30000,,,,,1,144,5687,4881,767,1364,227,27,73,93,714,166,101,583,804,89,55,6.8,34.27,-1.96,31.56,0.69,556000
2020,NC,박민우,2B,우투,좌타,9,신규,A,2019,26,125,526,468,89,161,23,8,9,1,45,18,7,41,40,10,6,2.95,4.35,7.3,4.79,0.3,38000,고졸,,,,5,144,5631,4968,674,1383,249,26,83,128,639,87,45,456,880,126,60,10.59,22.04,3.58,25.29,0.91,796700
2021,NC,박민우,2B,우투,좌타,9,신규,A,2020,27,126,530,467,82,161,27,5,15,8,63,13,6,36,48,12,10,8.45,5.07,13.52,4.48,0.79,52000,고졸,,,,1,144,5833,5102,888,1483,258,28,104,187,845,101,38,529,997,106,51,9.88,13.19,2.77,32.11,1.24,741800
2022,NC,박민우,2B,우투,좌타,9,신규,A,2021,28,50,215,180,30,47,5,3,7,1,18,12,3,22,23,4,2,4.81,2.14,6.95,1.08,0.48,63000,고졸,,,,7,144,5532,4808,702,1254,203,17,111,170,670,101,46,511,1093,94,43,-14.94,3.78,-23.57,22.15,-0.97,838500
2023,NC,박민우,2B,우투,좌타,9,신규,A,2022,29,104,451,390,61,104,22,1,10,4,38,21,4,42,55,7,3,1.32,4.3,5.62,2.6,0.14,41000,고졸,잔류,8,140,6,144,5585,4899,646,1260,230,15,88,105,613,100,39,501,981,112,47,-7,-6.71,-14.51,19.94,-0.72,823200
2024,NC,박민우,2B,우투,좌타,,FA 1년차,,2023,30,124,509,452,76,143,20,7,9,2,46,26,7,40,57,13,3,3.53,3.94,7.47,4.03,0.36,110000,,,,,4,144,5606,4895,679,1321,223,28,100,98,642,111,46,493,1005,122,55,14.57,2.81,5.89,23.31,1.49,568600
2019,넥센,박병호,1B,우투,우타,4,신규,C,2018,32,113,488,400,88,138,20,0,17,43,112,0,1,68,114,9,3,2.06,-9.82,-7.77,6.82,0.18,150000,35세 이상 해외복귀,,,,4,144,5780,5141,825,1481,288,19,85,165,787,101,33,472,1208,93,50,4.11,17.31,-7.27,21.63,0.37,555600
2020,키움,박병호,1B,우투,우타,4,신규,C,2019,33,122,532,432,92,121,22,0,13,33,98,0,1,78,117,7,9,5.8,-10.83,-5.03,5.73,0.6,150000,35세 이상 해외복귀,,,,2,144,5658,4991,780,1405,251,38,69,112,741,110,33,514,943,122,48,-9.68,-15.38,-17.74,31.31,-1,403100
2021,키움,박병호,1B,우투,우타,4,신규,C,2020,34,93,383,309,56,69,7,0,9,21,66,0,0,57,114,8,8,1.84,-7.61,-5.76,1.53,0.17,200000,35세 이상 해외복귀,,,,5,144,5721,4945,759,1332,254,25,73,127,713,113,27,608,1030,107,52,10.87,24.31,4.63,23.86,1.02,651300
2022,키움,박병호,1B,우투,우타,4,신규,C,2021,35,118,477,409,48,93,23,0,14,20,76,0,1,47,141,9,7,0.26,-9.72,-9.46,0.89,0.03,150000,35세 이상 해외복귀,이적,3,52.5,5,144,5653,4874,722,1262,244,28,93,91,671,97,26,595,1053,93,56,20.06,18.06,13.53,20.78,1.77,615900
2023,KT,박병호,1B,우투,우타,,FA 1년차,,2022,36,124,487,429,72,118,17,0,12,35,98,5,3,40,131,7,6,6.63,-9.72,-3.09,3.83,0.68,60000,,,,,4,144,5547,4864,631,1237,192,19,49,119,588,89,34,519,1183,105,44,13.16,14.83,4.34,17.82,1.35,749000
2013,삼성,박석민,3B,우투,우타,9,신규,A,2012,27,127,549,443,79,138,19,3,27,23,91,2,3,72,83,8,5,-4.69,-1.17,-5.86,6.9,-0.52,,고졸,,,,1,133,5161,4436,628,1205,200,26,86,89,585,125,48,500,813,91,47,-30.05,-4.67,-42.08,32.31,-3.87,393200
2014,삼성,박석민,3B,우투,우타,9,신규,A,2013,28,117,474,396,61,126,24,0,21,18,76,4,2,54,73,13,2,6.91,-0.78,6.13,5.61,0.53,,고졸,,,,1,128,5042,4370,669,1235,212,17,93,113,624,95,41,453,818,98,41,17.85,-1.74,16.12,28.45,2.03,431300
2015,삼성,박석민,3B,우투,우타,9,신규,A,2014,29,110,425,356,77,112,21,0,12,27,72,0,1,54,62,12,3,0.79,-0.1,0.69,4.15,0.07,37000,고졸,,,,1,128,5152,4464,812,1345,238,23,62,161,763,161,46,507,743,88,43,12.63,-4.5,2.92,25.53,1.11,637700
2016,삼성,박석민,3B,우투,우타,9,신규,A,2015,30,135,559,448,90,144,25,0,19,26,116,3,0,83,97,13,8,6.95,0,6.95,5.84,0.64,47000,고졸,이적,4,96,2,144,5803,5019,897,1515,259,25,70,176,850,157,52,581,930,109,57,0.96,5.77,-8.74,32.86,0.08,693600
2017,NC,박석민,3B,우투,우타,4,FA 1년차,A,2016,31,126,506,427,77,131,20,0,16,32,104,2,0,56,95,18,4,-10.25,-1.06,-11.31,3.98,-0.91,75000,고졸,,,,2,144,5833,5007,857,1457,249,19,93,169,808,99,41,609,1023,133,52,6.4,-8.9,-3.55,24.47,0.57,723500
2018,NC,박석민,3B,우투,우타,4,재자격,A,2017,32,101,382,319,43,78,15,0,13,14,56,1,2,50,92,17,0,-5.8,-1.44,-7.24,1.12,-0.53,75000,고졸,,,,4,144,5790,5079,786,1489,277,19,130,149,739,93,32,471,979,119,48,16.48,35.2,6.55,24.87,1.52,713700
2019,NC,박석민,3B,우투,우타,4,재자격,A,2018,33,103,375,318,40,81,14,1,15,16,55,1,0,39,80,11,3,0.38,-6.41,-6.03,0.78,0.03,75000,고졸,,,,10,144,5488,4895,660,1280,233,18,88,143,629,82,35,427,1081,115,43,2.07,19.6,-8.48,5.69,0.25,544500
2020,NC,박석민,3B,우투,우타,4,재자격,A,2019,34,112,444,360,49,96,17,1,12,19,74,1,2,65,69,17,3,-1.43,-4.44,-5.87,3.16,-0.15,75000,고졸,잔류,3,34,5,144,5631,4968,674,1383,249,26,83,128,639,87,45,456,880,126,60,10.59,22.04,3.58,25.29,0.91,796700
2021,NC,박석민,3B,우투,우타,,FA 1년차,,2020,35,123,448,356,58,109,15,0,10,14,63,0,1,75,62,11,4,-5.54,-0.41,-5.95,4.02,-0.52,70000,,,,,1,144,5833,5102,888,1483,258,28,104,187,845,101,38,529,997,106,51,9.88,13.19,2.77,32.11,1.24,741800
2020,두산,박세혁,C,우투,좌타,7,신규,A,2019,29,137,505,441,58,123,19,9,7,4,63,8,2,41,68,5,6,-1.05,11.98,10.93,3.82,-0.11,10000,대졸,,,,1,144,5670,4913,736,1364,235,31,72,84,691,102,38,563,799,117,83,20.76,20.57,11.54,29.09,2.13,596100
2021,두산,박세혁,C,우투,좌타,7,신규,A,2020,30,124,423,360,47,97,18,2,12,4,51,5,3,35,45,7,7,-0.32,9.82,9.49,2.28,-0.03,23200,대졸,,,,2,144,5776,5046,816,1477,263,20,68,125,778,88,37,551,796,132,73,-16.54,-25.41,-27.23,30.64,-1.48,677600
2022,두산,박세혁,C,우투,좌타,7,신규,A,2021,31,96,270,237,25,52,12,0,5,0,30,4,2,22,43,6,3,1.5,6.22,7.71,0.14,0.15,26000,대졸,,,,2,144,5645,4900,738,1314,235,17,86,110,698,81,37,560,943,137,53,-0.82,-8.17,-11.12,24.7,-0.08,681500
2023,두산,박세혁,C,우투,좌타,7,신규,A,2022,32,128,402,351,33,87,13,1,6,3,41,2,2,33,71,4,4,0.59,9.5,10.09,1.47,0.06,30000,대졸,이적,4,46,9,144,5510,4891,638,1249,210,12,71,101,592,90,40,450,1007,116,45,-9.52,-20.71,-19.24,15.56,-0.98,808700
2024,NC,박세혁,C,우투,좌타,,FA 1년차,,2023,33,88,283,242,35,51,9,3,4,6,32,1,1,30,43,3,1,1.29,6.65,7.93,1.05,0.13,70000,,,,,4,144,5606,4895,679,1321,223,28,100,98,642,111,46,493,1005,122,55,14.57,2.81,5.89,23.31,1.49,568600
2012,LG,박용택,DH,우투,좌타,4,재자격,A,2011,32,115,450,414,57,125,21,1,5,15,64,13,3,26,71,8,4,-0.33,-4.2,-4.53,3.17,-0.29,35000,고졸,,,,6,,,,,,,,,,,,,,,,,,,,,,
2013,LG,박용택,CF,우투,좌타,4,재자격,A,2012,33,127,556,499,82,152,34,3,7,11,76,30,8,42,66,9,7,-3.36,-2.02,-5.37,5.15,-0.33,35000,고졸,,,,7,133,5180,4539,544,1184,212,18,53,59,512,140,57,458,857,107,50,-34.51,-4.59,-46.48,22.45,-5.68,345400
2014,LG,박용택,CF,우투,좌타,4,재자격,A,2013,34,125,539,476,79,156,22,4,4,7,67,13,8,52,71,5,7,-17.08,-2.94,-20.03,3.91,-1.77,35000,고졸,,,,3,128,4930,4287,615,1209,193,38,59,59,574,139,71,451,806,80,42,-14.07,2.68,-11.39,22.22,0.07,399500
2015,LG,박용택,CF,우투,좌타,4,재자격,A,2014,35,124,549,464,71,159,24,2,1,9,73,11,9,75,65,15,7,4.53,-4.22,0.31,3.75,0.4,35000,고졸,잔류,4,50,4,128,5070,4349,668,1214,213,22,63,90,622,105,64,524,817,112,57,10.35,-11.98,0.93,13.69,0.92,502800
2016,LG,박용택,LF,우투,좌타,4,FA 1년차,A,2015,36,128,533,487,66,159,28,2,4,18,83,11,4,34,73,12,7,-10.42,-4.95,-15.36,3.06,-0.96,80000,고졸,,,,9,144,5599,4941,653,1331,252,22,80,114,601,113,62,462,1076,98,41,-35.76,17.36,-45.09,10.86,-3.09,715600
2017,LG,박용택,DH,우투,좌타,4,재자격,A,2016,37,138,578,509,84,176,24,0,4,11,90,6,6,58,71,13,7,4.63,-12.19,-7.56,2.83,0.41,80000,고졸,,,,4,144,5765,5051,786,1464,238,26,72,118,744,121,70,523,982,92,54,37.96,34.04,27.87,19.83,3.37,542900
2018,LG,박용택,DH,우투,좌타,4,재자격,A,2017,38,138,596,509,83,175,23,2,6,14,90,4,2,72,88,13,9,0.86,-13.55,-12.68,3.69,0.08,80000,고졸,,,,6,144,5614,4944,699,1390,216,20,101,110,663,77,56,438,1021,123,55,6.68,12.37,-3.17,13.68,0.61,666400
2019,LG,박용택,DH,우투,좌타,4,재자격,A,2018,39,134,583,524,89,159,38,1,5,15,76,3,3,47,107,21,7,1.09,-13.68,-12.59,1.5,0.1,80000,고졸,잔류,2,25,8,144,5665,5070,788,1487,299,12,75,148,740,71,38,418,1001,125,51,-27.85,-22.4,-35.85,21.66,-2.31,851800
2020,LG,박용택,DH,우투,좌타,,FA 1년차,,2019,40,64,215,195,19,55,9,0,0,1,22,3,1,18,30,3,2,0.94,-4.66,-3.71,0.23,0.1,80000,,,,,4,144,5536,4928,641,1316,233,15,77,94,604,108,47,434,962,117,48,11.94,14.3,3.53,20.38,1.23,745100
2013,SK,박재상,LF,좌투,좌타,9,신규,A,2012,30,100,322,269,37,58,12,0,1,4,23,6,9,34,60,8,2,1.42,-3.97,-2.55,0.24,-0.48,16000,고졸,,,,2,133,4996,4347,564,1120,197,15,58,108,523,104,75,445,864,85,28,26.13,-5.91,13.09,23.64,2.38,371100
2014,SK,박재상,LF,좌투,좌타,9,신규,A,2013,31,103,305,262,37,69,9,2,3,8,36,14,1,25,50,4,3,1.07,-2.84,-1.76,1.35,-0.11,14000,고졸,,,,6,128,4950,4278,588,1134,189,20,86,124,558,144,63,465,918,99,37,33.96,0.05,34.01,21.13,2.79,404600
2015,SK,박재상,LF,좌투,좌타,9,신규,A,2014,32,38,77,63,9,12,2,1,2,1,6,2,1,9,13,1,0,1.44,-0.67,0.77,-0.2,0.13,16000,고졸,,,,5,128,5082,4423,735,1285,245,22,72,115,696,139,46,447,926,92,49,8.13,9.44,0.35,15.79,0.21,489800
2016,SK,박재상,LF,좌투,좌타,9,신규,A,2015,33,108,292,250,34,62,12,2,3,7,37,4,5,32,53,4,1,0.73,-1.81,-1.08,0.36,0.07,16000,고졸,잔류,2,5.5,5,144,5588,4861,693,1323,214,10,98,145,656,94,59,490,1047,113,29,-20.69,-5.15,-29.84,14.72,-1.07,756700
2017,SK,박재상,LF,좌투,좌타,,FA 1년차,,2016,34,94,288,255,37,76,14,1,0,6,35,3,6,27,37,9,2,2.81,-2.61,0.2,0.47,0.25,20000,,,,,6,144,5672,5023,753,1464,234,19,102,182,715,89,60,429,1018,104,47,6.75,30.26,1.12,19.17,0.6,712900
2013,SK,박정권,1B,좌투,좌타,8,신규,A,2012,31,122,472,416,61,106,18,1,4,12,59,4,6,43,80,7,3,0.79,-9.59,-8.8,2.17,-0.69,19500,대졸,,,,2,133,4996,4347,564,1120,197,15,58,108,523,104,75,445,864,85,28,26.13,-5.91,13.09,23.64,2.38,371100
2014,SK,박정권,1B,좌투,좌타,8,신규,A,2013,32,110,434,363,56,106,20,1,1,18,70,4,4,64,79,5,6,1.63,-8.23,-6.6,3.8,-0.45,20500,대졸,,,,6,128,4950,4278,588,1134,189,20,86,124,558,144,63,465,918,99,37,33.96,0.05,34.01,21.13,2.79,404600
2015,SK,박정권,1B,좌투,좌타,8,신규,A,2014,33,120,499,452,81,140,33,2,2,27,109,7,9,41,106,6,4,3.87,-10.07,-6.2,1.79,0.34,23500,대졸,,,,5,128,5082,4423,735,1285,245,22,72,115,696,139,46,447,926,92,49,8.13,9.44,0.35,15.79,0.21,489800
2016,SK,박정권,1B,좌투,좌타,8,신규,A,2015,34,124,494,438,66,123,23,0,4,21,70,3,3,46,119,9,2,7.4,-9.86,-2.46,1.23,0.68,40000,대졸,잔류,4,30,5,144,5588,4861,693,1323,214,10,98,145,656,94,59,490,1047,113,29,-20.69,-5.15,-29.84,14.72,-1.07,756700
2017,SK,박정권,1B,좌투,좌타,,FA 1년차,,2016,35,125,468,422,59,117,17,3,5,18,59,4,0,35,99,7,4,6.7,-9.16,-2.45,0.47,0.59,40000,,,,,6,144,5672,5023,753,1464,234,19,102,182,715,89,60,429,1018,104,47,6.75,30.26,1.12,19.17,0.6,712900
2011,삼성,박한이,RF,좌투,좌타,4,재자격,A,2010,31,128,470,379,64,114,21,2,3,11,63,5,4,73,54,10,5,-3.03,-5.13,-8.16,4.42,-0.86,30000,고졸,,,,2,,,,,,,,,,,,,,,,,,,,,,
2012,삼성,박한이,RF,좌투,좌타,4,재자격,A,2011,32,121,506,429,77,110,19,2,5,4,30,8,2,60,88,7,2,-0.02,-4.12,-4.14,2.21,-0.08,30000,고졸,,,,1,,,,,,,,,,,,,,,,,,,,,,
2013,삼성,박한이,RF,좌투,좌타,4,재자격,A,2012,33,111,463,388,61,118,19,4,1,1,51,4,6,58,72,8,3,-3.56,-5.15,-8.72,3.96,-0.93,30000,고졸,,,,1,133,5161,4436,628,1205,200,26,86,89,585,125,48,500,813,91,47,-30.05,-4.67,-42.08,32.31,-3.87,393200
2014,삼성,박한이,RF,좌투,좌타,4,재자격,A,2013,34,112,466,394,56,112,12,3,1,6,55,4,4,51,74,5,2,17.76,-4.55,13.22,2.07,1.66,35000,고졸,잔류,4,28,1,128,5042,4370,669,1235,212,17,93,113,624,95,41,453,818,98,41,17.85,-1.74,16.12,28.45,2.03,431300
