iter	Passed	Remaining
917	6308	563
918	6313	556
919	6319	549
920	6325	542
921	6334	535
922	6341	529
923	6348	522
924	6353	515
925	6358	508
926	6366	501
927	6371	494
928	6375	487
929	6379	480
930	6384	473
931	6388	466
932	6392	459
933	6397	452
934	6402	445
935	6407	438
936	6413	431
937	6418	424
938	6424	417
939	6428	410
940	6433	403
941	6442	396
942	6448	389
943	6454	382
944	6458	375
945	6462	368
946	6464	361
947	6467	354
948	6470	347
949	6473	340
950	6477	333
951	6480	326
952	6485	319
953	6488	312
954	6491	305
955	6494	298
956	6497	291
957	6499	284
958	6502	278
959	6505	271
960	6508	264
961	6511	257
962	6514	250
963	6517	243
964	6520	236
965	6522	229
966	6525	222
967	6527	215
968	6530	208
969	6533	202
970	6536	195
971	6539	188
972	6542	181
973	6545	174
974	6548	167
975	6551	161
976	6554	154
977	6556	147
978	6559	140
979	6562	133
980	6564	127
981	6567	120
982	6570	113
983	6573	106
984	6576	100
985	6578	93
986	6581	86
987	6584	79
988	6586	73
989	6589	66
990	6591	59
991	6594	53
992	6596	46
993	6599	39
994	6602	33
995	6604	26
996	6607	19
997	6609	13
998	6612	6
999	6615	0
