iter	RMSE
946	165.5980718
947	164.6890355
948	164.2649606
949	163.2295113
950	162.8120155
951	162.1263587
952	161.7124467
953	160.7006335
954	159.8227424
955	159.4154284
956	158.4255224
957	157.7621522
958	157.369625
959	156.9709187
960	156.3136122
961	155.5314775
962	155.145245
963	154.7632082
964	154.1165069
965	153.7273331
966	153.2126647
967	152.8359414
968	152.2008861
969	151.8270458
970	151.3215102
971	150.9398663
972	150.4382991
973	150.0597869
974	149.5558654
975	149.1897673
976	148.8173082
977	148.3162288
978	147.9563007
979	147.4593779
980	147.0915408
981	146.6328442
982	146.0127925
983	145.6773377
984	144.8913208
985	144.5431855
986	143.9335085
987	143.5688794
988	142.8603544
989	142.5332383
990	141.8163541
991	141.4583525
992	140.9825015
993	140.545322
994	139.9551039
995	139.6023592
996	139.0252999
997	138.6903156
998	138.3590044
999	137.787048
9059254
