FA년도,구단명,선수명,세부 포지션,투,구분,FA등급,플레이년도,나이,게임수,선발등판,구원등판,승리,패전,세이브,블론세이브,홀드,블론홀드,이닝수,자책점,피안타,2루타허용,3루타허용,피홈런,볼넷허용,사구허용,탈삼진,폭투,ERA,FIP,선발 이닝,구원 이닝,선발 WAR,구원 WAR,종합 WAR,연봉,비고1,잔류 여부,FA 계약 연수,FA 계약 총액
2014,롯데,김사율,CP,우투,신규,A,2013,33.0,35.0,8.0,27.0,3.0,7.0,1.0,3.0,3.0,0.0,74.1,33.0,74.0,13.0,1.0,11.0,34.0,2.0,47.0,6.0,4.0,5.44,38.2,35.2,0.76,0.71,1.47,19000.0,고졸,잔류,0.0,0.0
2015,롯데,김사율,RP,우투,신규,A,2014,34.0,33.0,7.0,26.0,2.0,5.0,0.0,0.0,2.0,1.0,79.1,51.0,95.0,17.0,2.0,13.0,30.0,3.0,71.0,8.0,5.79,5.22,35.0,44.1,0.51,0.35,0.86,15000.0,고졸,이적,4.0,14.5
2016,KT,김사율,RP,우투,FA 1년차,A,2015,35.0,21.0,0.0,21.0,0.0,0.0,0.0,0.0,0.0,0.0,25.2,23.0,40.0,13.0,2.0,4.0,11.0,2.0,24.0,3.0,8.06,5.06,0.0,25.2,0.0,-0.63,-0.63,20000.0,고졸,잔류,0.0,0.0
2018,키움,김상수,CP,우투,신규,A,2017,29.0,60.0,0.0,60.0,0.0,7.0,15.0,6.0,9.0,3.0,61.1,26.0,59.0,9.0,0.0,8.0,22.0,3.0,62.0,5.0,3.82,4.39,0.0,61.1,0.0,1.6,1.6,12000.0,고졸,잔류,0.0,0.0
2019,키움,김상수,CP,우투,신규,A,2018,30.0,58.0,0.0,58.0,2.0,3.0,18.0,7.0,14.0,0.0,55.2,32.0,53.0,10.0,0.0,9.0,23.0,1.0,68.0,6.0,5.17,4.55,0.0,55.2,0.0,0.58,0.58,16500.0,고졸,잔류,0.0,0.0
2020,키움,김상수,RP,우투,신규,A,2019,31.0,67.0,0.0,67.0,3.0,5.0,0.0,1.0,40.0,0.0,56.2,19.0,50.0,6.0,0.0,3.0,28.0,2.0,60.0,0.0,3.02,3.38,0.0,56.2,0.0,1.69,1.69,20000.0,고졸,잔류,0.0,0.0
2021,키움,김상수,RP,우투,신규,A,2020,32.0,60.0,0.0,60.0,3.0,3.0,5.0,3.0,11.0,0.0,51.1,27.0,52.0,12.0,0.0,3.0,21.0,3.0,48.0,1.0,4.73,3.74,0.0,51.1,0.0,0.48,0.48,30000.0,고졸,이적,3.0,15.5
2022,SSG,김상수,CP,우투,FA 1년차,A,2021,33.0,50.0,0.0,50.0,4.0,3.0,6.0,3.0,5.0,0.0,58.1,33.0,71.0,8.0,0.0,10.0,30.0,1.0,44.0,2.0,5.09,5.46,0.0,58.1,0.0,0.83,0.83,30000.0,고졸,잔류,0.0,0.0
2015,롯데,김승회,CP,우투,자격유지,A,2014,33.0,54.0,0.0,54.0,1.0,2.0,20.0,3.0,4.0,0.0,56.0,19.0,47.0,12.0,2.0,4.0,18.0,3.0,40.0,1.0,3.05,4.48,0.0,56.0,0.0,2.35,2.35,12000.0,고졸,잔류,0.0,0.0
2016,롯데,김승회,RP,우투,자격유지,A,2015,34.0,39.0,7.0,32.0,7.0,3.0,2.0,1.0,2.0,1.0,75.0,52.0,96.0,17.0,1.0,13.0,28.0,4.0,50.0,2.0,6.24,5.73,33.2,41.1,0.81,-0.04,0.77,19000.0,고졸,잔류,0.0,0.0
2017,SSG,김승회,RP,우투,자격유지,A,2016,35.0,23.0,0.0,23.0,1.0,1.0,0.0,1.0,4.0,0.0,24.1,16.0,29.0,4.0,1.0,4.0,9.0,0.0,19.0,2.0,5.92,5.26,0.0,24.1,0.0,-0.04,-0.04,22000.0,고졸,잔류,0.0,0.0
2018,두산,김승회,RP,우투,자격유지,A,2017,36.0,69.0,0.0,69.0,7.0,4.0,0.0,0.0,11.0,2.0,69.0,38.0,86.0,17.0,3.0,6.0,17.0,6.0,41.0,3.0,4.96,4.7,0.0,69.0,0.0,0.9,0.9,10000.0,고졸,잔류,2.0,3.0
2019,두산,김승회,RP,우투,FA 1년차,A,2018,37.0,55.0,0.0,55.0,3.0,4.0,3.0,2.0,11.0,0.0,54.2,21.0,54.0,11.0,0.0,6.0,23.0,5.0,34.0,3.0,3.46,5.69,0.0,54.2,0.0,1.17,1.17,10000.0,고졸,잔류,0.0,0.0
2021,KT,김재윤,CP,우투,신규,B,2020,30.0,56.0,0.0,56.0,5.0,3.0,21.0,7.0,1.0,0.0,60.2,22.0,62.0,4.0,2.0,7.0,15.0,0.0,58.0,0.0,3.26,3.64,0.0,60.2,0.0,2.11,2.11,12000.0,고졸,잔류,0.0,0.0
2022,KT,김재윤,CP,우투,신규,B,2021,31.0,65.0,0.0,65.0,4.0,3.0,32.0,5.0,0.0,0.0,67.0,18.0,57.0,8.0,0.0,5.0,24.0,0.0,64.0,2.0,2.42,3.24,0.0,67.0,0.0,2.69,2.69,17000.0,고졸,잔류,0.0,0.0
2023,KT,김재윤,CP,우투,신규,B,2022,32.0,61.0,0.0,61.0,9.0,7.0,33.0,6.0,0.0,0.0,66.1,24.0,46.0,6.0,0.0,5.0,21.0,0.0,78.0,2.0,3.26,2.54,0.0,66.1,0.0,2.26,2.26,28000.0,고졸,잔류,0.0,0.0
2024,KT,김재윤,CP,우투,신규,B,2023,33.0,59.0,0.0,59.0,5.0,5.0,32.0,4.0,0.0,0.0,65.2,19.0,54.0,5.0,2.0,2.0,13.0,1.0,60.0,3.0,2.6,2.4,0.0,65.2,0.0,2.8,2.8,36000.0,고졸,이적,4.0,58.0
2025,삼성,김재윤,RP,우투,FA 1년차,B,2024,34.0,65.0,0.0,65.0,4.0,8.0,11.0,5.0,25.0,0.0,66.0,30.0,58.0,9.0,1.0,13.0,25.0,1.0,51.0,2.0,4.09,5.69,0.0,66.0,0.0,1.42,1.42,40000.0,고졸,잔류,0.0,0.0
