FA년도,구단명,선수명,세부 포지션,투,구분,FA등급,플레이년도,나이,게임수,선발등판,구원등판,승리,패전,세이브,블론세이브,홀드,블론홀드,이닝수,자책점,피안타,2루타허용,3루타허용,피홈런,볼넷허용,사구허용,탈삼진,폭투,ERA,FIP,선발 이닝,구원 이닝,선발 WAR,구원 WAR,종합 WAR,연봉,비고1,잔류 여부,FA 계약 연수,FA 계약 총액
2011,KIA,유동훈,CP,우언,신규,A,2010,33.0,48.0,0.0,48.0,3.0,2.0,14.0,6.0,1.0,0.0,47.1,15.0,46.0,7.0,2.0,1.0,10.0,7.0,32.0,0.0,2.85,3.15,0.0,47.1,0.0,1.25,1.25,21000.0,대졸,잔류,0.0,0.0
2012,KIA,유동훈,CP,우언,신규,A,2011,34.0,47.0,0.0,47.0,3.0,3.0,7.0,4.0,2.0,0.0,48.0,21.0,51.0,15.0,0.0,4.0,12.0,4.0,21.0,0.0,3.94,4.36,0.0,48.0,0.0,0.78,0.78,18000.0,대졸,잔류,0.0,0.0
2013,KIA,유동훈,CP,우언,신규,A,2012,35.0,43.0,0.0,43.0,1.0,0.0,6.0,0.0,5.0,0.0,34.0,20.0,33.0,9.0,1.0,0.0,10.0,2.0,29.0,0.0,5.29,2.45,0.0,34.0,0.0,0.03,0.03,15000.0,대졸,잔류,2.0,7.5
2014,KIA,유동훈,RP,우언,FA 1년차,A,2013,36.0,49.0,0.0,49.0,1.0,3.0,0.0,0.0,5.0,1.0,52.1,17.0,56.0,14.0,1.0,3.0,12.0,7.0,38.0,1.0,2.92,3.73,0.0,52.1,0.0,0.85,0.85,17500.0,대졸,잔류,0.0,0.0
2018,두산,유희관,SP,좌투,신규,A,2017,31.0,30.0,29.0,1.0,11.0,6.0,0.0,0.0,1.0,0.0,188.2,95.0,228.0,37.0,3.0,20.0,41.0,10.0,106.0,5.0,4.53,4.9,188.1,0.1,3.9,-0.01,3.89,50000.0,대졸,잔류,0.0,0.0
2019,두산,유희관,SP,좌투,신규,A,2018,32.0,29.0,28.0,1.0,10.0,10.0,0.0,0.0,0.0,0.0,141.0,105.0,197.0,41.0,3.0,23.0,42.0,4.0,81.0,1.0,6.7,5.86,138.0,3.0,0.78,0.09,0.87,50000.0,대졸,잔류,0.0,0.0
2020,두산,유희관,SP,좌투,신규,A,2019,33.0,28.0,27.0,1.0,11.0,8.0,0.0,0.0,0.0,0.0,166.1,60.0,171.0,37.0,2.0,8.0,42.0,3.0,64.0,2.0,3.25,4.26,165.2,0.2,4.71,-0.19,4.52,35000.0,대졸,잔류,0.0,0.0
2021,두산,유희관,SP,좌투,신규,A,2020,34.0,27.0,27.0,0.0,10.0,11.0,0.0,0.0,0.0,0.0,136.1,76.0,190.0,37.0,5.0,14.0,39.0,3.0,56.0,1.0,5.02,5.15,136.1,0.0,1.49,0.0,1.49,47000.0,대졸,잔류,1.0,10.0
2022,두산,유희관,SP,좌투,FA 1년차,A,2021,35.0,15.0,15.0,0.0,4.0,7.0,0.0,0.0,0.0,0.0,63.0,54.0,107.0,14.0,3.0,10.0,24.0,3.0,23.0,0.0,7.71,6.07,63.0,0.0,-0.57,0.0,-0.57,30000.0,대졸,잔류,0.0,0.0
2017,한화,윤규진,RP,우투,신규,A,2016,32.0,41.0,16.0,25.0,7.0,7.0,1.0,0.0,3.0,2.0,100.1,76.0,125.0,16.0,2.0,19.0,54.0,8.0,74.0,4.0,6.82,6.57,71.1,29.0,0.74,0.26,1.0,17000.0,고졸,잔류,0.0,0.0
2018,한화,윤규진,SP,우투,신규,A,2017,33.0,36.0,18.0,18.0,8.0,7.0,0.0,0.0,2.0,0.0,119.0,69.0,138.0,20.0,2.0,19.0,44.0,4.0,93.0,5.0,5.22,5.4,98.2,20.1,2.36,-0.08,2.28,18000.0,고졸,잔류,0.0,0.0
2019,한화,윤규진,SP,우투,신규,A,2018,34.0,18.0,17.0,1.0,2.0,6.0,0.0,0.0,0.0,0.0,84.0,55.0,99.0,22.0,2.0,14.0,30.0,6.0,81.0,3.0,5.89,5.25,82.0,2.0,0.95,0.0,0.95,21000.0,고졸,잔류,0.0,0.0
2020,한화,윤규진,RP,우투,신규,A,2019,35.0,3.0,0.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,4.1,5.0,6.0,2.0,1.0,0.0,1.0,0.0,1.0,0.0,10.38,3.95,0.0,4.1,0.0,-0.09,-0.09,20000.0,고졸,잔류,2.0,5.0
2021,한화,윤규진,RP,우투,FA 1년차,A,2020,36.0,2.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,3.2,3.0,7.0,0.0,0.0,1.0,1.0,0.0,4.0,0.0,7.36,5.36,0.0,3.2,0.0,-0.14,-0.14,17000.0,고졸,잔류,0.0,0.0
2013,SSG,윤길현,RP,우투,신규,A,2012,29.0,5.0,0.0,5.0,0.0,0.0,0.0,0.0,0.0,0.0,3.1,4.0,6.0,1.0,0.0,1.0,3.0,0.0,1.0,0.0,10.8,9.1,0.0,3.1,0.0,-0.11,-0.11,15500.0,고졸,잔류,0.0,0.0
2014,SSG,윤길현,RP,우투,신규,A,2013,30.0,45.0,0.0,45.0,3.0,1.0,0.0,0.0,8.0,0.0,43.1,16.0,35.0,11.0,0.0,5.0,21.0,2.0,47.0,4.0,3.32,4.03,0.0,43.1,0.0,0.87,0.87,12500.0,고졸,잔류,0.0,0.0
2015,SSG,윤길현,RP,우투,신규,A,2014,31.0,59.0,0.0,59.0,3.0,3.0,7.0,3.0,9.0,2.0,57.2,25.0,49.0,10.0,1.0,7.0,28.0,1.0,63.0,9.0,3.9,4.42,0.0,57.2,0.0,1.05,1.05,14500.0,고졸,잔류,0.0,0.0
2016,SSG,윤길현,CP,우투,신규,A,2015,32.0,70.0,0.0,70.0,0.0,4.0,13.0,5.0,17.0,0.0,62.2,22.0,58.0,12.0,0.0,7.0,36.0,2.0,62.0,3.0,3.16,4.73,0.0,62.2,0.0,1.21,1.21,22000.0,고졸,이적,4.0,38.0
2017,롯데,윤길현,RP,우투,FA 1년차,A,2016,33.0,62.0,0.0,62.0,7.0,7.0,2.0,8.0,16.0,0.0,60.0,40.0,75.0,17.0,3.0,8.0,22.0,2.0,50.0,3.0,6.0,4.88,0.0,60.0,0.0,0.2,0.2,50000.0,고졸,잔류,0.0,0.0
2011,KIA,윤석민,SP,우투,신규,A,2010,24.0,23.0,13.0,10.0,6.0,3.0,3.0,1.0,0.0,0.0,101.0,43.0,95.0,17.0,1.0,5.0,36.0,3.0,94.0,3.0,3.83,3.19,86.0,15.0,1.95,0.05,2.0,22000.0,고졸,잔류,0.0,0.0
2012,KIA,윤석민,SP,우투,신규,A,2011,25.0,27.0,25.0,2.0,17.0,5.0,1.0,0.0,0.0,0.0,172.1,47.0,137.0,22.0,2.0,10.0,44.0,6.0,178.0,2.0,2.45,2.63,168.1,4.0,5.72,0.22,5.94,19000.0,고졸,잔류,0.0,0.0
2013,KIA,윤석민,SP,우투,신규,A,2012,26.0,28.0,24.0,4.0,9.0,8.0,0.0,0.0,0.0,0.0,153.0,53.0,120.0,26.0,7.0,9.0,33.0,8.0,137.0,4.0,3.12,2.78,148.0,5.0,2.99,0.26,3.25,38000.0,고졸,잔류,0.0,0.0
2014,KIA,윤석민,CP,우투,신규,A,2013,27.0,30.0,11.0,19.0,3.0,6.0,7.0,1.0,2.0,1.0,87.2,39.0,91.0,18.0,3.0,9.0,28.0,1.0,76.0,0.0,4.0,3.88,62.2,25.0,1.72,0.82,2.54,38000.0,고졸,미국,0.0,0.0
2012,삼성,윤성환,SP,우투,신규,A,2011,30.0,24.0,23.0,1.0,14.0,5.0,0.0,0.0,0.0,0.0,137.1,54.0,151.0,25.0,3.0,8.0,30.0,3.0,83.0,4.0,3.54,3.55,136.1,1.0,2.71,0.05,2.77,15000.0,대졸,잔류,0.0,0.0
2013,삼성,윤성환,SP,우투,신규,A,2012,31.0,19.0,19.0,0.0,9.0,6.0,0.0,0.0,0.0,0.0,114.0,36.0,112.0,22.0,1.0,6.0,26.0,4.0,81.0,5.0,2.84,3.15,114.0,0.0,3.58,0.0,3.58,25000.0,대졸,잔류,0.0,0.0
2014,삼성,윤성환,SP,우투,신규,A,2013,32.0,27.0,27.0,0.0,13.0,8.0,0.0,0.0,0.0,0.0,170.2,62.0,167.0,40.0,2.0,16.0,37.0,4.0,122.0,4.0,3.27,3.87,170.2,0.0,5.24,0.0,5.24,30000.0,대졸,잔류,0.0,0.0
2015,삼성,윤성환,SP,우투,신규,A,2014,33.0,28.0,28.0,0.0,12.0,7.0,0.0,0.0,0.0,0.0,170.1,83.0,196.0,30.0,4.0,18.0,37.0,8.0,133.0,4.0,4.39,4.24,170.1,0.0,4.75,0.0,4.75,45000.0,대졸,잔류,4.0,80.0
2016,삼성,윤성환,SP,우투,FA 1년차,A,2015,34.0,30.0,30.0,0.0,17.0,8.0,0.0,0.0,0.0,0.0,194.0,81.0,199.0,34.0,4.0,27.0,30.0,10.0,164.0,1.0,3.76,4.27,194.0,0.0,6.34,0.0,6.34,80000.0,고졸,잔류,0.0,0.0
2017,삼성,윤성환,SP,우투,재자격,A,2016,35.0,28.0,28.0,0.0,11.0,10.0,0.0,0.0,0.0,0.0,180.0,87.0,202.0,35.0,3.0,25.0,41.0,13.0,85.0,6.0,4.35,5.64,180.0,0.0,5.12,0.0,5.12,80000.0,고졸,잔류,0.0,0.0
2018,삼성,윤성환,SP,우투,재자격,A,2017,36.0,28.0,28.0,0.0,12.0,9.0,0.0,0.0,0.0,0.0,174.1,83.0,181.0,39.0,4.0,22.0,37.0,15.0,130.0,3.0,4.28,4.77,174.1,0.0,5.45,0.0,5.45,80000.0,고졸,잔류,0.0,0.0
2019,삼성,윤성환,SP,우투,재자격,A,2018,37.0,24.0,24.0,0.0,5.0,9.0,0.0,0.0,0.0,0.0,117.1,91.0,164.0,30.0,0.0,28.0,32.0,9.0,89.0,2.0,6.98,6.37,117.1,0.0,0.8,0.0,0.8,80000.0,고졸,잔류,1.0,10.0
2020,삼성,윤성환,SP,우투,FA 1년차,A,2019,38.0,27.0,27.0,0.0,8.0,13.0,0.0,0.0,0.0,0.0,145.1,77.0,168.0,34.0,3.0,14.0,50.0,7.0,65.0,3.0,4.77,5.05,145.1,0.0,2.09,0.0,2.09,40000.0,고졸,잔류,0.0,0.0
2013,LG,이동현,RP,우투,신규,A,2012,29.0,52.0,0.0,52.0,2.0,2.0,0.0,2.0,6.0,0.0,56.2,19.0,43.0,4.0,1.0,1.0,18.0,0.0,56.0,0.0,3.02,2.21,0.0,56.2,0.0,1.37,1.37,5000.0,고졸,잔류,0.0,0.0
2014,LG,이동현,RP,우투,신규,A,2013,30.0,64.0,0.0,64.0,6.0,3.0,1.0,3.0,25.0,2.0,72.0,24.0,70.0,8.0,2.0,4.0,25.0,3.0,53.0,1.0,3.0,3.7,0.0,72.0,0.0,1.69,1.69,8500.0,고졸,잔류,0.0,0.0
2015,LG,이동현,RP,우투,신규,A,2014,31.0,61.0,0.0,61.0,5.0,1.0,2.0,4.0,23.0,0.0,59.1,18.0,54.0,10.0,1.0,2.0,21.0,8.0,38.0,3.0,2.73,4.52,0.0,59.1,0.0,1.86,1.86,17000.0,고졸,잔류,0.0,0.0
2016,LG,이동현,RP,우투,신규,A,2015,32.0,60.0,0.0,60.0,5.0,5.0,4.0,4.0,11.0,0.0,59.1,29.0,65.0,13.0,0.0,4.0,20.0,2.0,55.0,7.0,4.4,3.52,0.0,59.1,0.0,0.46,0.46,30000.0,고졸,잔류,3.0,30.0
2017,LG,이동현,RP,우투,FA 1년차,A,2016,33.0,46.0,0.0,46.0,4.0,3.0,2.0,2.0,5.0,1.0,43.1,26.0,54.0,13.0,0.0,5.0,14.0,3.0,38.0,3.0,5.4,4.42,0.0,43.1,0.0,-0.03,-0.03,60000.0,고졸,잔류,0.0,0.0
2017,키움,이보근,RP,우투,신규,A,2016,30.0,67.0,0.0,67.0,5.0,7.0,0.0,2.0,25.0,4.0,64.2,32.0,69.0,13.0,3.0,3.0,27.0,6.0,56.0,5.0,4.45,4.16,0.0,64.2,0.0,1.08,1.08,8400.0,고졸,잔류,0.0,0.0
2018,키움,이보근,RP,우투,신규,A,2017,31.0,55.0,0.0,55.0,6.0,2.0,6.0,3.0,18.0,0.0,52.2,32.0,62.0,9.0,0.0,9.0,17.0,0.0,58.0,2.0,5.47,4.49,0.0,52.2,0.0,0.51,0.51,15000.0,고졸,잔류,0.0,0.0
2019,키움,이보근,RP,우투,신규,A,2018,32.0,64.0,0.0,64.0,7.0,6.0,0.0,4.0,24.0,0.0,61.0,29.0,66.0,10.0,2.0,6.0,14.0,4.0,54.0,2.0,4.28,4.17,0.0,61.0,0.0,1.03,1.03,14000.0,고졸,이적,4.0,19.0
2020,키움,이보근,RP,우투,FA 1년차,A,2019,33.0,19.0,0.0,19.0,0.0,2.0,0.0,1.0,3.0,0.0,16.2,18.0,29.0,3.0,2.0,1.0,4.0,0.0,12.0,0.0,9.72,3.47,0.0,16.2,0.0,-0.5,-0.5,20000.0,고졸,잔류,0.0,0.0
2018,두산,이용찬,CP,우투,신규,A,2017,28.0,68.0,0.0,68.0,5.0,5.0,22.0,2.0,2.0,0.0,71.2,35.0,83.0,16.0,1.0,5.0,27.0,4.0,57.0,3.0,4.4,4.35,0.0,71.2,0.0,1.35,1.35,18000.0,고졸,잔류,0.0,0.0
2019,두산,이용찬,SP,우투,신규,A,2018,29.0,25.0,24.0,1.0,15.0,3.0,0.0,0.0,0.0,0.0,144.0,58.0,151.0,24.0,1.0,14.0,36.0,8.0,102.0,6.0,3.63,4.68,142.0,2.0,5.14,0.14,5.27,23500.0,고졸,잔류,0.0,0.0
2020,두산,이용찬,SP,우투,신규,A,2019,30.0,26.0,26.0,0.0,7.0,10.0,0.0,0.0,0.0,0.0,148.1,67.0,168.0,28.0,2.0,15.0,45.0,6.0,102.0,3.0,4.07,4.34,148.1,0.0,2.75,0.0,2.75,39000.0,고졸,잔류,0.0,0.0
2021,두산,이용찬,SP,우투,신규,A,2020,31.0,5.0,5.0,0.0,1.0,3.0,0.0,0.0,0.0,0.0,26.2,25.0,41.0,8.0,0.0,7.0,6.0,0.0,15.0,1.0,8.44,6.41,26.2,0.0,-0.17,0.0,-0.17,42000.0,고졸,이적,3.0,10.0
2022,NC,이용찬,CP,우투,FA 1년차,A,2021,32.0,39.0,0.0,39.0,1.0,3.0,16.0,4.0,3.0,0.0,37.0,9.0,27.0,4.0,0.0,2.0,11.0,1.0,35.0,2.0,2.19,2.97,0.0,37.0,0.0,1.41,1.41,10000.0,고졸,잔류,0.0,0.0
2012,SSG,이재영,RP,우투,신규,A,2011,32.0,21.0,0.0,21.0,2.0,0.0,0.0,0.0,2.0,0.0,29.0,9.0,19.0,2.0,0.0,3.0,8.0,0.0,15.0,0.0,2.79,4.42,0.0,29.0,0.0,0.97,0.97,10000.0,대졸,잔류,0.0,0.0
2013,SSG,이재영,RP,우투,신규,A,2012,33.0,48.0,0.0,48.0,6.0,3.0,1.0,2.0,10.0,0.0,65.0,31.0,65.0,14.0,0.0,6.0,35.0,5.0,46.0,3.0,4.29,4.44,0.0,65.0,0.0,0.56,0.56,10000.0,대졸,잔류,0.0,0.0
2014,SSG,이재영,RP,우투,신규,A,2013,34.0,44.0,0.0,44.0,2.0,4.0,0.0,1.0,3.0,0.0,43.2,27.0,39.0,6.0,0.0,5.0,24.0,5.0,35.0,2.0,5.56,5.22,0.0,43.2,0.0,-0.22,-0.22,12000.0,대졸,잔류,0.0,0.0
2015,SSG,이재영,RP,우투,신규,A,2014,35.0,38.0,0.0,38.0,1.0,0.0,0.0,0.0,4.0,1.0,48.0,33.0,45.0,11.0,1.0,7.0,28.0,0.0,42.0,5.0,6.19,5.61,0.0,48.0,0.0,0.27,0.27,12000.0,대졸,잔류,2.0,5.5
2016,SSG,이재영,RP,우투,FA 1년차,A,2015,36.0,26.0,0.0,26.0,1.0,0.0,0.0,0.0,1.0,0.0,31.0,16.0,36.0,12.0,1.0,4.0,13.0,3.0,26.0,1.0,4.65,5.13,0.0,31.0,0.0,0.55,0.55,15000.0,대졸,잔류,0.0,0.0
2020,NC,이재학,SP,우사,신규,B,2019,29.0,24.0,23.0,1.0,10.0,4.0,0.0,0.0,0.0,0.0,129.2,54.0,133.0,24.0,2.0,6.0,43.0,9.0,91.0,6.0,3.75,3.85,127.2,2.0,3.2,0.03,3.23,24500.0,고졸,잔류,0.0,0.0
2021,NC,이재학,SP,우사,신규,B,2020,30.0,19.0,19.0,0.0,5.0,6.0,0.0,0.0,0.0,0.0,90.2,66.0,105.0,21.0,1.0,14.0,43.0,5.0,61.0,4.0,6.55,5.79,90.2,0.0,1.01,0.0,1.01,27500.0,고졸,잔류,0.0,0.0
2022,NC,이재학,SP,우사,신규,B,2021,31.0,17.0,17.0,0.0,6.0,6.0,0.0,0.0,0.0,0.0,83.0,48.0,74.0,16.0,1.0,14.0,52.0,6.0,65.0,3.0,5.2,5.84,83.0,0.0,1.65,0.0,1.65,20000.0,고졸,잔류,0.0,0.0
2023,NC,이재학,SP,우사,신규,B,2022,32.0,26.0,17.0,9.0,3.0,8.0,0.0,0.0,0.0,0.0,91.0,48.0,75.0,14.0,2.0,5.0,54.0,8.0,72.0,6.0,4.75,4.57,73.2,17.1,1.34,-0.29,1.05,18000.0,고졸,잔류,3.0,9.0
2024,NC,이재학,SP,우사,FA 1년차,B,2023,33.0,15.0,13.0,2.0,5.0,5.0,0.0,0.0,0.0,0.0,67.1,34.0,55.0,5.0,2.0,6.0,33.0,5.0,43.0,7.0,4.54,5.06,64.1,3.0,1.05,0.21,1.26,20000.0,고졸,잔류,0.0,0.0
2010,롯데,이정훈,RP,우투,신규,A,2009,32.0,57.0,0.0,57.0,1.0,3.0,8.0,3.0,9.0,0.0,74.1,25.0,77.0,19.0,1.0,5.0,28.0,8.0,50.0,4.0,3.03,4.06,0.0,74.1,0.0,2.94,2.94,3600.0,고졸,잔류,0.0,0.0
2011,롯데,이정훈,RP,우투,신규,A,2010,33.0,43.0,0.0,43.0,3.0,9.0,1.0,2.0,5.0,0.0,46.0,35.0,56.0,15.0,2.0,4.0,19.0,4.0,27.0,3.0,6.85,4.52,0.0,46.0,0.0,-0.15,-0.15,7200.0,고졸,잔류,0.0,0.0
2012,키움,이정훈,RP,우투,신규,A,2011,34.0,44.0,0.0,44.0,3.0,3.0,1.0,3.0,7.0,0.0,52.1,22.0,50.0,11.0,1.0,1.0,19.0,6.0,31.0,6.0,3.78,3.67,0.0,52.1,0.0,1.02,1.02,7200.0,고졸,잔류,0.0,0.0
2013,키움,이정훈,RP,우투,신규,A,2012,35.0,40.0,0.0,40.0,4.0,4.0,1.0,0.0,8.0,0.0,44.1,23.0,45.0,10.0,3.0,2.0,17.0,5.0,32.0,3.0,4.67,3.76,0.0,44.1,0.0,-0.1,-0.1,8200.0,고졸,잔류,2.0,5.0
2014,키움,이정훈,RP,우투,FA 1년차,A,2013,36.0,56.0,0.0,56.0,5.0,2.0,1.0,2.0,11.0,1.0,69.0,23.0,69.0,12.0,3.0,5.0,24.0,2.0,29.0,1.0,3.0,4.78,0.0,69.0,0.0,1.41,1.41,10000.0,고졸,잔류,0.0,0.0
2020,한화,이태양,RP,우투,신규,C,2019,29.0,55.0,1.0,54.0,1.0,6.0,0.0,5.0,10.0,0.0,66.2,43.0,74.0,11.0,2.0,8.0,13.0,3.0,64.0,4.0,5.81,3.58,5.0,61.2,-0.11,-0.56,-0.68,15000.0,고졸,잔류,0.0,0.0
2021,SSG,이태양,RP,우투,신규,C,2020,30.0,53.0,0.0,53.0,2.0,1.0,0.0,0.0,4.0,0.0,55.3,34.0,68.0,12.0,1.0,8.0,16.0,1.0,45.0,3.0,5.46,4.57,0.0,55.3,0.0,0.47,0.47,14000.0,고졸,잔류,0.0,0.0
2022,SSG,이태양,RP,우투,신규,C,2021,31.0,40.0,14.0,26.0,5.0,10.0,0.0,0.0,4.0,0.0,103.2,66.0,123.0,23.0,1.0,25.0,32.0,1.0,62.0,2.0,5.73,6.1,76.2,27.0,0.85,-0.1,0.75,10000.0,고졸,잔류,0.0,0.0
2023,SSG,이태양,SP,우투,신규,C,2022,32.0,30.0,17.0,13.0,8.0,3.0,0.0,0.0,1.0,0.0,112.0,45.0,116.0,18.0,0.0,15.0,24.0,5.0,61.0,0.0,3.62,4.76,92.0,20.0,2.22,0.55,2.77,12000.0,고졸,이적,4.0,25.0
2024,한화,이태양,RP,우투,FA 1년차,C,2023,33.0,50.0,12.0,38.0,3.0,3.0,0.0,0.0,2.0,0.0,100.1,36.0,100.0,25.0,6.0,7.0,21.0,3.0,72.0,1.0,3.23,3.6,50.1,50.0,0.83,0.95,1.78,66000.0,고졸,잔류,0.0,0.0
2015,두산,이현승,RP,좌투,신규,A,2014,31.0,65.0,3.0,62.0,3.0,3.0,0.0,1.0,15.0,0.0,55.0,31.0,68.0,12.0,2.0,2.0,23.0,3.0,39.0,4.0,5.07,4.32,11.1,43.2,0.36,0.17,0.53,11000.0,대졸,잔류,0.0,0.0
2016,두산,이현승,CP,좌투,신규,A,2015,32.0,41.0,0.0,41.0,3.0,1.0,18.0,6.0,2.0,1.0,46.2,15.0,45.0,9.0,0.0,3.0,10.0,2.0,41.0,2.0,2.89,3.33,0.0,46.2,0.0,0.93,0.93,15500.0,대졸,잔류,0.0,0.0
2017,두산,이현승,CP,좌투,신규,A,2016,33.0,56.0,0.0,56.0,1.0,4.0,25.0,7.0,1.0,0.0,57.2,31.0,65.0,10.0,2.0,8.0,17.0,7.0,41.0,2.0,4.84,5.3,0.0,57.2,0.0,-0.03,-0.03,40000.0,대졸,잔류,3.0,27.0
2018,두산,이현승,CP,좌투,FA 1년차,A,2017,34.0,57.0,0.0,57.0,3.0,2.0,5.0,7.0,9.0,0.0,52.0,23.0,62.0,9.0,2.0,4.0,16.0,4.0,38.0,0.0,3.98,4.37,0.0,52.0,0.0,0.74,0.74,40000.0,대졸,잔류,0.0,0.0
2021,LG,임찬규,SP,우투,자격유지,B,2020,28.0,27.0,26.0,1.0,10.0,9.0,0.0,0.0,0.0,0.0,147.2,67.0,143.0,29.0,2.0,14.0,65.0,5.0,138.0,4.0,4.08,4.26,142.0,5.2,2.83,0.33,3.16,13500.0,23년 B등급,잔류,0.0,0.0
2022,LG,임찬규,SP,우투,자격유지,B,2021,29.0,17.0,17.0,0.0,1.0,8.0,0.0,0.0,0.0,0.0,90.2,39.0,76.0,9.0,3.0,7.0,41.0,3.0,67.0,5.0,3.87,4.31,90.2,0.0,1.88,0.0,1.88,22000.0,23년 B등급,잔류,0.0,0.0
2023,LG,임찬규,SP,우투,자격유지,B,2022,30.0,23.0,23.0,0.0,6.0,11.0,0.0,0.0,0.0,0.0,103.2,58.0,113.0,13.0,3.0,10.0,39.0,7.0,75.0,3.0,5.04,4.5,103.2,0.0,1.16,0.0,1.16,20000.0,23년 B등급,잔류,0.0,0.0
2024,LG,임찬규,SP,우투,자격유지,B,2023,31.0,30.0,26.0,4.0,14.0,3.0,0.0,0.0,1.0,0.0,144.2,55.0,142.0,22.0,2.0,10.0,54.0,5.0,103.0,1.0,3.42,4.16,136.2,8.0,3.58,0.2,3.78,17000.0,23년 B등급,잔류,4.0,50.0
2025,LG,임찬규,SP,우투,FA 1년차,B,2024,32.0,25.0,24.0,1.0,10.0,6.0,0.0,0.0,1.0,0.0,134.0,57.0,144.0,29.0,1.0,12.0,42.0,5.0,136.0,1.0,3.83,3.79,133.0,1.0,4.39,0.07,4.46,20000.0,23년 B등급,잔류,0.0,0.0
2021,NC,임창민,RP,우투,자격유지,C,2020,35.0,44.0,0.0,44.0,7.0,2.0,0.0,1.0,11.0,1.0,37.2,22.0,39.0,10.0,1.0,4.0,23.0,2.0,44.0,3.0,5.26,4.31,0.0,37.2,0.0,-0.06,-0.06,16000.0,신규 35세 23년 C등급,잔류,0.0,0.0
2022,NC,임창민,RP,우투,자격유지,C,2021,36.0,46.0,0.0,46.0,0.0,3.0,0.0,3.0,17.0,0.0,40.1,17.0,35.0,8.0,0.0,2.0,20.0,4.0,29.0,7.0,3.79,4.33,0.0,40.1,0.0,0.46,0.46,14000.0,신규 35세 23년 C등급,잔류,0.0,0.0
2023,두산,임창민,RP,우투,자격유지,C,2022,37.0,32.0,0.0,32.0,0.0,0.0,2.0,3.0,6.0,2.0,27.1,12.0,26.0,1.0,0.0,3.0,10.0,3.0,21.0,1.0,3.95,4.64,0.0,27.1,0.0,-0.39,-0.39,12000.0,신규 35세 23년 C등급,잔류,0.0,0.0
2024,키움,임창민,CP,우투,자격유지,C,2023,38.0,51.0,0.0,51.0,2.0,2.0,26.0,4.0,1.0,0.0,46.2,13.0,51.0,6.0,0.0,3.0,17.0,2.0,40.0,0.0,2.51,3.6,0.0,46.2,0.0,1.28,1.28,10000.0,신규 35세 23년 C등급,이적,2.0,8.0
2025,삼성,임창민,RP,우투,FA 1년차,C,2024,39.0,60.0,0.0,60.0,2.0,1.0,1.0,3.0,28.0,1.0,54.1,24.0,60.0,10.0,0.0,4.0,30.0,2.0,50.0,5.0,3.98,4.49,0.0,54.1,0.0,1.97,1.97,20000.0,신규 35세 23년 C등급,잔류,0.0,0.0
2021,한화,장민재,RP,우투,신규,C,2020,30.0,24.0,10.0,14.0,2.0,7.0,0.0,0.0,0.0,0.0,57.1,43.0,86.0,19.0,2.0,5.0,13.0,2.0,32.0,1.0,6.75,4.45,43.0,14.1,-0.34,0.41,0.07,11000.0,고졸,잔류,0.0,0.0
2022,한화,장민재,SP,우투,신규,C,2021,31.0,12.0,6.0,6.0,0.0,2.0,0.0,0.0,0.0,0.0,29.1,9.0,34.0,7.0,0.0,4.0,8.0,0.0,13.0,1.0,2.76,5.13,23.2,5.2,0.65,-0.18,0.47,10000.0,고졸,잔류,0.0,0.0
2023,한화,장민재,SP,우투,신규,C,2022,32.0,32.0,25.0,7.0,7.0,8.0,0.0,0.0,0.0,1.0,126.2,50.0,124.0,18.0,2.0,15.0,39.0,4.0,75.0,3.0,3.55,4.74,120.1,6.1,3.27,0.06,3.33,7600.0,고졸,잔류,0.0,0.0
2024,한화,장민재,SP,우투,신규,C,2023,33.0,25.0,13.0,12.0,3.0,8.0,0.0,0.0,1.0,0.0,69.0,37.0,79.0,13.0,2.0,12.0,22.0,5.0,61.0,5.0,4.83,4.83,57.0,12.0,-0.05,0.15,0.11,11500.0,고졸,잔류,3.0,8.0
2025,한화,장민재,RP,우투,FA 1년차,C,2024,34.0,26.0,0.0,26.0,1.0,1.0,0.0,0.0,0.0,1.0,29.0,10.0,46.0,7.0,0.0,2.0,7.0,1.0,17.0,5.0,3.1,4.41,0.0,29.0,0.0,0.74,0.74,15000.0,고졸,잔류,0.0,0.0
2020,롯데,장시환,SP,우투,신규,C,2019,32.0,27.0,27.0,0.0,6.0,13.0,0.0,0.0,0.0,0.0,125.1,69.0,147.0,29.0,1.0,12.0,58.0,2.0,109.0,17.0,4.95,4.23,125.1,0.0,1.54,0.0,1.54,8500.0,35세 이상,잔류,0.0,0.0
2021,한화,장시환,SP,우투,신규,C,2020,33.0,26.0,26.0,0.0,4.0,14.0,0.0,0.0,0.0,0.0,132.2,74.0,139.0,27.0,1.0,15.0,74.0,8.0,115.0,10.0,5.02,5.09,132.2,0.0,1.87,0.0,1.87,11000.0,35세 이상,잔류,0.0,0.0
2022,한화,장시환,SP,우투,신규,C,2021,34.0,19.0,16.0,3.0,0.0,11.0,0.0,0.0,1.0,0.0,69.0,54.0,87.0,12.0,1.0,4.0,48.0,6.0,47.0,7.0,7.04,5.18,67.0,2.0,-0.23,-0.12,-0.36,15400.0,35세 이상,잔류,0.0,0.0
